names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Acrobatic Maneuver,Instant,None,Kaladesh,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Winona Nelson',0.14,False
Aerial Responder,Creature,Dwarf Soldier,Kaladesh,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Raoul Vitale',0.14,False
Aetherstorm Roc,Creature,Bird,Kaladesh,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Murphy',0.16,False
Angel of Invention,Creature,Angel,Kaladesh,Mythic Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',2.76,False
Authority of the Consuls,Enchantment,None,Kaladesh,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lake Hurwitz',4.0,False
Aviary Mechanic,Creature,Dwarf Artificer,Kaladesh,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.1,False
Built to Last,Instant,None,Kaladesh,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.06,False
Captured by the Consulate,Enchantment,Aura,Kaladesh,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tyler Jacobson',0.13,False
Cataclysmic Gearhulk,Artifact Creature,Construct,Kaladesh,Mythic Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',0.77,False
Consulate Surveillance,Enchantment,None,Kaladesh,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Daniel Ljunggren',0.07,False
Consul's Shieldguard,Creature,Dwarf Soldier,Kaladesh,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'David Gaillet',0.05,False
Eddytrail Hawk,Creature,Bird,Kaladesh,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Paick',0.03,False
Fairgrounds Warden,Creature,Dwarf Soldier,Kaladesh,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Izzy',0.16,False
Fragmentize,Sorcery,None,Kaladesh,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',0.14,False
Fumigate,Sorcery,None,Kaladesh,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',1.21,False
Gearshift Ace,Creature,Dwarf Pilot,Kaladesh,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Winona Nelson',0.1,False
Glint-Sleeve Artisan,Creature,Dwarf Artificer,Kaladesh,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Pancoast',0.05,False
Herald of the Fair,Creature,Human,Kaladesh,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',0.03,False
Impeccable Timing,Instant,None,Kaladesh,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rallis',0.09,False
Inspired Charge,Instant,None,Kaladesh,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Deruchenko Alexander',0.04,False
Master Trinketeer,Creature,Dwarf Artificer,Kaladesh,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.24,False
Ninth Bridge Patrol,Creature,Dwarf Soldier,Kaladesh,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Alexander Lee',0.06,False
Pressure Point,Instant,None,Kaladesh,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jakub Kasper',0.03,False
Propeller Pioneer,Creature,Human Artificer,Kaladesh,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Winona Nelson',0.04,False
Refurbish,Sorcery,None,Kaladesh,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johann Bodin',0.11,False
