names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Abzan Battle Priest,Creature,Human Cleric,Khans of Tarkir,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.14,False
Abzan Falconer,Creature,Human Soldier,Khans of Tarkir,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.13,False
Ainok Bond-Kin,Creature,Dog Soldier,Khans of Tarkir,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.11,False
Alabaster Kirin,Creature,Kirin,Khans of Tarkir,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.05,False
Brave the Sands,Enchantment,None,Khans of Tarkir,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Kendall',0.65,False
Dazzling Ramparts,Creature,Wall,Khans of Tarkir,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jung Park',0.09,False
Defiant Strike,Instant,None,Khans of Tarkir,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Anastasia Ovchinnikova',0.13,False
End Hostilities,Sorcery,None,Khans of Tarkir,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Rainville',0.36,False
Erase,Instant,None,Khans of Tarkir,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zack Stella',0.1,False
Feat of Resistance,Instant,None,Khans of Tarkir,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Gaillet',0.11,False
Firehoof Cavalry,Creature,Human Berserker,Khans of Tarkir,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'YW Tang',0.04,False
Herald of Anafenza,Creature,Human Soldier,Khans of Tarkir,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Aaron Miller',0.2,False
High Sentinels of Arashin,Creature,Bird Soldier,Khans of Tarkir,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.2,False
Jeskai Student,Creature,Human Monk,Khans of Tarkir,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Gaillet',0.07,False
Kill Shot,Instant,None,Khans of Tarkir,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael C. Hayes',0.06,False
Mardu Hateblade,Creature,Human Warrior,Khans of Tarkir,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Alexander Lee',0.06,False
Mardu Hordechief,Creature,Human Warrior,Khans of Tarkir,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Torstein Nordstrand',0.08,False
Master of Pearls,Creature,Human Monk,Khans of Tarkir,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Gaillet',0.13,False
Rush of Battle,Sorcery,None,Khans of Tarkir,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.06,False
Sage-Eye Harrier,Creature,Bird Warrior,Khans of Tarkir,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chase Stone',0.02,False
Salt Road Patrol,Creature,Human Scout,Khans of Tarkir,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Murphy',0.03,False
Seeker of the Way,Creature,Human Warrior,Khans of Tarkir,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Craig J Spearing',0.16,False
Siegecraft,Enchantment,Aura,Khans of Tarkir,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Viktor Titov',0.05,False
Smite the Monstrous,Instant,None,Khans of Tarkir,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.03,False
Suspension Field,Enchantment,None,Khans of Tarkir,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Seb McKinnon',0.08,False
Take Up Arms,Instant,None,Khans of Tarkir,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Craig J Spearing',0.09,False
Timely Hordemate,Creature,Human Warrior,Khans of Tarkir,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',0.09,False
Venerable Lammasu,Creature,Lammasu,Khans of Tarkir,Uncommon,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'YW Tang',0.06,False
War Behemoth,Creature,Beast,Khans of Tarkir,Common,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.05,False
Watcher of the Roost,Creature,Bird Soldier,Khans of Tarkir,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jack Wang',0.03,False
Wingmate Roc,Creature,Bird,Khans of Tarkir,Mythic Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.45,False
Blinding Spray,Instant,None,Khans of Tarkir,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.08,False
Cancel,Instant,None,Khans of Tarkir,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.09,False
Clever Impersonator,Creature,Shapeshifter,Khans of Tarkir,Mythic Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',2.37,False
Crippling Chill,Instant,None,Khans of Tarkir,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Torstein Nordstrand',0.05,False
Dig Through Time,Instant,None,Khans of Tarkir,Rare,8,Blue,Banned,Not Legal,Legal,Restrict.,Banned,True,b'Ryan Yee',4.56,False
Disdainful Stroke,Instant,None,Khans of Tarkir,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.11,False
Dragon's Eye Savants,Creature,Human Wizard,Khans of Tarkir,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Rainville',0.09,False
Embodiment of Spring,Creature,Elemental,Khans of Tarkir,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.14,False
Force Away,Instant,None,Khans of Tarkir,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Winters',0.09,False
Glacial Stalker,Creature,Elemental,Khans of Tarkir,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.03,False
Icy Blast,Instant,None,Khans of Tarkir,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Deschamps',0.23,False
Jeskai Elder,Creature,Human Monk,Khans of Tarkir,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Craig J Spearing',0.07,False
Jeskai Windscout,Creature,Bird Scout,Khans of Tarkir,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Johann Bodin',0.05,False
Kheru Spellsnatcher,Creature,Naga Wizard,Khans of Tarkir,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Clint Cearley',0.18,False
Mistfire Weaver,Creature,Djinn Wizard,Khans of Tarkir,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.12,False
Monastery Flock,Creature,Bird,Khans of Tarkir,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',0.1,False
Mystic of the Hidden Way,Creature,Human Monk,Khans of Tarkir,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Alexander Lee',0.06,False
Pearl Lake Ancient,Creature,Leviathan,Khans of Tarkir,Mythic Rare,7,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Wright',0.46,False
Quiet Contemplation,Enchantment,None,Khans of Tarkir,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.1,False
Riverwheel Aerialists,Creature,Djinn Monk,Khans of Tarkir,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jack Wang',0.08,False
Scaldkin,Creature,Elemental,Khans of Tarkir,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Cliff Childs',0.03,False
Scion of Glaciers,Creature,Elemental,Khans of Tarkir,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Titus Lunter',0.06,False
Set Adrift,Sorcery,None,Khans of Tarkir,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.1,False
Singing Bell Strike,Enchantment,Aura,Khans of Tarkir,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Chase Stone',0.07,False
Stubborn Denial,Instant,None,Khans of Tarkir,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.84,False
Taigam's Scheming,Sorcery,None,Khans of Tarkir,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.09,False
Thousand Winds,Creature,Elemental,Khans of Tarkir,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Raymond Swanland',0.13,False
Treasure Cruise,Sorcery,None,Khans of Tarkir,Common,8,Blue,Banned,Not Legal,Legal,Restrict.,Banned,True,b'Cynthia Sheppard',0.31,False
Waterwhirl,Instant,None,Khans of Tarkir,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Clint Cearley',0.09,False
Weave Fate,Instant,None,Khans of Tarkir,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Zack Stella',0.03,False
Wetland Sambar,Creature,Elk,Khans of Tarkir,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'James Zapata',0.06,False
Whirlwind Adept,Creature,Djinn Monk,Khans of Tarkir,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.07,False
Bellowing Saddlebrute,Creature,Orc Warrior,Khans of Tarkir,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Torstein Nordstrand',0.06,False
Bitter Revelation,Sorcery,None,Khans of Tarkir,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Viktor Titov',0.07,False
Bloodsoaked Champion,Creature,Human Warrior,Khans of Tarkir,Rare,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Aaron Miller',1.36,False
Dead Drop,Sorcery,None,Khans of Tarkir,Uncommon,10,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.13,False
Debilitating Injury,Enchantment,Aura,Khans of Tarkir,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.05,False
Despise,Sorcery,None,Khans of Tarkir,Uncommon,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',0.12,False
Disowned Ancestor,Creature,Spirit Warrior,Khans of Tarkir,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Zack Stella',0.1,False
Dutiful Return,Sorcery,None,Khans of Tarkir,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Seb McKinnon',0.05,False
Empty the Pits,Instant,None,Khans of Tarkir,Mythic Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Alexander Lee',0.55,False
Grim Haruspex,Creature,Human Wizard,Khans of Tarkir,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Seb McKinnon',1.03,False
Gurmag Swiftwing,Creature,Bat,Khans of Tarkir,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Simpson',0.13,False
Kheru Bloodsucker,Creature,Vampire,Khans of Tarkir,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Ljunggren',0.08,False
Kheru Dreadmaw,Creature,Zombie Crocodile,Khans of Tarkir,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Yee',0.06,False
