names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Animate Wall,Enchantment,Aura,Limited Edition Alpha,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',104.92,False
Armageddon,Sorcery,None,Limited Edition Alpha,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',523.11,False
Balance,Sorcery,None,Limited Edition Alpha,Rare,2,White,Not Legal,Not Legal,Banned,Restrict.,Banned,True,b'Mark Poole',657.8,False
Benalish Hero,Creature,Human Soldier,Limited Edition Alpha,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',9.48,False
Black Ward,Enchantment,Aura,Limited Edition Alpha,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',8.38,False
Blaze of Glory,Instant,None,Limited Edition Alpha,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Thomas',189.0,False
Blessing,Enchantment,Aura,Limited Edition Alpha,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Julie Baroh',126.65,False
Blue Ward,Enchantment,Aura,Limited Edition Alpha,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',23.51,False
Castle,Enchantment,None,Limited Edition Alpha,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',41.99,False
Circle of Protection: Blue,Enchantment,None,Limited Edition Alpha,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',9.73,False
Circle of Protection: Green,Enchantment,None,Limited Edition Alpha,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sandra Everingham',6.37,False
Circle of Protection: Red,Enchantment,None,Limited Edition Alpha,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',13.56,False
Circle of Protection: White,Enchantment,None,Limited Edition Alpha,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',19.99,False
Consecrate Land,Enchantment,Aura,Limited Edition Alpha,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff A. Menges',89.95,False
Conversion,Enchantment,None,Limited Edition Alpha,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',30.67,False
Crusade,Enchantment,None,Limited Edition Alpha,Rare,2,White,Not Legal,Not Legal,Banned,Banned,Banned,True,b'Mark Poole',30.67,False
Death Ward,Instant,None,Limited Edition Alpha,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',19.97,False
Disenchant,Instant,None,Limited Edition Alpha,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Amy Weber',56.74,False
Farmstead,Enchantment,Aura,Limited Edition Alpha,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',220.33,False
Green Ward,Enchantment,Aura,Limited Edition Alpha,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',20.0,False
Guardian Angel,Instant,None,Limited Edition Alpha,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',22.0,False
Healing Salve,Instant,None,Limited Edition Alpha,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',11.23,False
Holy Armor,Enchantment,Aura,Limited Edition Alpha,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',6.84,False
Holy Strength,Enchantment,Aura,Limited Edition Alpha,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',13.06,False
Island Sanctuary,Enchantment,None,Limited Edition Alpha,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',208.46,False
