names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Animate Wall,Enchantment,Aura,Limited Edition Beta,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',49.95,False
Armageddon,Sorcery,None,Limited Edition Beta,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',330.0,False
Balance,Sorcery,None,Limited Edition Beta,Rare,2,White,Not Legal,Not Legal,Banned,Restrict.,Banned,True,b'Mark Poole',783.51,False
Benalish Hero,Creature,Human Soldier,Limited Edition Beta,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',4.0,False
Black Ward,Enchantment,Aura,Limited Edition Beta,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',5.45,False
Blaze of Glory,Instant,None,Limited Edition Beta,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Thomas',170.72,False
Blessing,Enchantment,Aura,Limited Edition Beta,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Julie Baroh',58.36,False
Blue Ward,Enchantment,Aura,Limited Edition Beta,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',5.57,False
Castle,Enchantment,None,Limited Edition Beta,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',13.99,False
Circle of Protection: Black,Enchantment,None,Limited Edition Beta,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',9.14,False
Circle of Protection: Blue,Enchantment,None,Limited Edition Beta,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',3.0,False
Circle of Protection: Green,Enchantment,None,Limited Edition Beta,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sandra Everingham',5.24,False
Circle of Protection: Red,Enchantment,None,Limited Edition Beta,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',8.21,False
Circle of Protection: White,Enchantment,None,Limited Edition Beta,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',3.64,False
Consecrate Land,Enchantment,Aura,Limited Edition Beta,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff A. Menges',6.63,False
Conversion,Enchantment,None,Limited Edition Beta,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',7.13,False
Crusade,Enchantment,None,Limited Edition Beta,Rare,2,White,Not Legal,Not Legal,Banned,Banned,Banned,True,b'Mark Poole',7.13,False
Death Ward,Instant,None,Limited Edition Beta,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',2.65,False
Disenchant,Instant,None,Limited Edition Beta,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Amy Weber',33.43,False
Farmstead,Enchantment,Aura,Limited Edition Beta,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',47.16,False
Green Ward,Enchantment,Aura,Limited Edition Beta,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',6.24,False
Guardian Angel,Instant,None,Limited Edition Beta,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',3.76,False
Healing Salve,Instant,None,Limited Edition Beta,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',4.92,False
Holy Armor,Enchantment,Aura,Limited Edition Beta,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',3.75,False
Holy Strength,Enchantment,Aura,Limited Edition Beta,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',4.65,False
Island Sanctuary,Enchantment,None,Limited Edition Beta,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',130.09,False
Karma,Enchantment,None,Limited Edition Beta,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Thomas',28.09,False
Lance,Enchantment,Aura,Limited Edition Beta,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rob Alexander',4.86,False
Mesa Pegasus,Creature,Pegasus,Limited Edition Beta,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',4.4,False
Northern Paladin,Creature,Human Knight,Limited Edition Beta,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',132.66,False
Pearled Unicorn,Creature,Unicorn,Limited Edition Beta,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Cornelius Brudi',3.01,False
Personal Incarnation,Creature,Avatar Incarnation,Limited Edition Beta,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Brockschmidt',106.92,False
Purelace,Instant,None,Limited Edition Beta,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Sandra Everingham',29.49,False
