names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Akron Legionnaire,Creature,Giant Soldier,Legends,Rare,8,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',9.45,False
Alabaster Potion,Instant,None,Legends,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Harold McNeill',0.27,False
Amrou Kithkin,Creature,Kithkin,Legends,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Quinton Hoover',0.3,False
Angelic Voices,Enchantment,None,Legends,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Julie Baroh',11.39,False
Cleanse,Sorcery,None,Legends,Rare,4,White,Not Legal,Not Legal,Banned,Banned,Banned,True,b'Phil Foglio',11.39,False
Clergy of the Holy Nimbus,Creature,Human Cleric,Legends,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daniel Gelon',0.38,False
D'Avenant Archer,Creature,Human Soldier Archer,Legends,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.24,False
Divine Intervention,Enchantment,None,Legends,Rare,8,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Amy Weber',55.88,False
Divine Offering,Instant,None,Legends,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff A. Menges',0.92,False
Divine Transformation,Enchantment,Aura,Legends,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'N\xc3\xa9N\xc3\xa9 Thomas',10.48,False
Elder Land Wurm,Creature,Dragon Wurm,Legends,Rare,7,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Quinton Hoover',8.76,False
Enchanted Being,Creature,Human,Legends,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Douglas Shuler',0.27,False
Equinox,Enchantment,Aura,Legends,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Susan Van Camp',1.19,False
Fortified Area,Enchantment,None,Legends,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Asplund-Faith',1.53,False
Glyph of Life,Instant,None,Legends,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Susan Van Camp',0.25,False
Great Defender,Instant,None,Legends,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Poole',1.16,False
Great Wall,Enchantment,None,Legends,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Sandra Everingham',1.04,False
Greater Realm of Preservation,Enchantment,None,Legends,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'N\xc3\xa9N\xc3\xa9 Thomas',3.59,False
