names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Akroma Angel of Wrath,Creature,Angel,Legions,Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',3.27,True
Akroma's Devoted,Creature,Human Cleric,Legions,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.16,False
Aven Redeemer,Creature,Bird Cleric,Legions,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tim Hildebrandt',0.1,False
Aven Warhawk,Creature,Bird Soldier,Legions,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Glen Angus',0.13,False
Beacon of Destiny,Creature,Human Cleric,Legions,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tim Hildebrandt',0.36,False
Celestial Gatekeeper,Creature,Bird Cleric,Legions,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.67,False
Cloudreach Cavalry,Creature,Human Soldier,Legions,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.13,False
Daru Mender,Creature,Human Cleric,Legions,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ben Thompson',0.09,False
Daru Sanctifier,Creature,Human Cleric,Legions,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tony Szczudlo',0.15,False
Daru Stinger,Creature,Soldier,Legions,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.07,False
Defender of the Order,Creature,Human Cleric,Legions,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Darrell Riche',0.23,False
Deftblade Elite,Creature,Human Soldier,Legions,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Alan Pollack',0.41,False
Essence Sliver,Creature,Sliver,Legions,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Glen Angus',3.67,False
Gempalm Avenger,Creature,Human Soldier,Legions,Common,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Tim Hildebrandt',0.08,False
Glowrider,Creature,Human Cleric,Legions,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',1.25,False
Liege of the Axe,Creature,Human Soldier,Legions,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.1,False
Lowland Tracker,Creature,Human Soldier,Legions,Common,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.04,False
Planar Guide,Creature,Human Cleric,Legions,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Peterson',0.43,False
Plated Sliver,Creature,Sliver,Legions,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.42,False
Starlight Invoker,Creature,Human Cleric Mutant,Legions,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Glen Angus',0.07,False
Stoic Champion,Creature,Human Soldier,Legions,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.19,False
Sunstrike Legionnaire,Creature,Human Soldier,Legions,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.28,False
Swooping Talon,Creature,Bird Soldier,Legions,Uncommon,6,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.15,False
Wall of Hope,Creature,Wall,Legions,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'David Martin',0.35,False
Ward Sliver,Creature,Sliver,Legions,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',1.22,False
Whipgrass Entangler,Creature,Human Cleric,Legions,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ben Thompson',0.15,False
White Knight,Creature,Human Knight,Legions,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,"b'Edward P. Beard, Jr.'",0.14,False
Windborn Muse,Creature,Spirit,Legions,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',4.18,False
Wingbeat Warrior,Creature,Bird Soldier Warrior,Legions,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.07,False
Aven Envoy,Creature,Bird Soldier,Legions,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Horley-Orlandelli',0.05,False
Cephalid Pathmage,Creature,Cephalid Wizard,Legions,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Horley-Orlandelli',0.13,False
Chromeshell Crab,Creature,Crab Beast,Legions,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.34,False
Covert Operative,Creature,Human Wizard,Legions,Common,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.11,False
Crookclaw Elder,Creature,Bird Wizard,Legions,Uncommon,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.26,False
Dermoplasm,Creature,Shapeshifter,Legions,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Avon',0.38,False
Dreamborn Muse,Creature,Spirit,Legions,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',1.44,False
Echo Tracer,Creature,Human Wizard,Legions,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',0.26,False
Fugitive Wizard,Creature,Human Wizard,Legions,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',0.06,False
Gempalm Sorcerer,Creature,Human Wizard,Legions,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.19,False
Glintwing Invoker,Creature,Human Wizard Mutant,Legions,Common,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Nelson',0.06,False
Keeneye Aven,Creature,Bird Soldier,Legions,Common,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.1,False
Keeper of the Nine Gales,Creature,Bird Wizard,Legions,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Nelson',0.57,False
Master of the Veil,Creature,Human Wizard,Legions,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.69,False
Merchant of Secrets,Creature,Human Wizard,Legions,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.14,False
Mistform Seaswift,Creature,Illusion,Legions,Common,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dany Orizio',0.07,False
Mistform Sliver,Creature,Illusion Sliver,Legions,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ben Thompson',0.14,False
Mistform Ultimus,Creature,Illusion,Legions,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.27,True
Mistform Wakecaster,Creature,Illusion,Legions,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Glen Angus',0.19,False
Primoc Escapee,Creature,Bird Beast,Legions,Uncommon,7,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tony Szczudlo',0.21,False
Riptide Director,Creature,Human Wizard,Legions,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',1.26,False
Riptide Mangler,Creature,Beast,Legions,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Arnie Swekel',0.21,False
