names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Ajani Goldmane,Planeswalker,Ajani,Lorwyn,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',5.47,True
Arbiter of Knollridge,Creature,Giant Wizard,Lorwyn,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brandon Dorman',0.2,False
Austere Command,Sorcery,None,Lorwyn,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne England',10.2,False
Avian Changeling,Creature,Shapeshifter,Lorwyn,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.15,False
Battle Mastery,Enchantment,Aura,Lorwyn,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.24,False
Brigid Hero of Kinsbaile,Creature,Kithkin Archer,Lorwyn,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',0.64,True
Burrenton Forge-Tender,Creature,Kithkin Wizard,Lorwyn,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chuck Lukacs',0.39,False
Cenn's Heir,Creature,Kithkin Soldier,Lorwyn,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',0.1,False
Changeling Hero,Creature,Shapeshifter,Lorwyn,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Miracola',0.33,False
Cloudgoat Ranger,Creature,Giant Warrior,Lorwyn,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.16,False
Crib Swap,Tribal Instant,Shapeshifter,Lorwyn,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brandon Dorman',0.31,False
Dawnfluke,Creature,Elemental,Lorwyn,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.07,False
Entangling Trap,Enchantment,None,Lorwyn,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Warren Mahy',0.13,False
Favor of the Mighty,Tribal Enchantment,Giant,Lorwyn,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Larry MacDougall',0.52,False
Galepowder Mage,Creature,Kithkin Wizard,Lorwyn,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeremy Jarvis',0.34,False
Goldmeadow Dodger,Creature,Kithkin Rogue,Lorwyn,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Omar Rayyan',0.08,False
Goldmeadow Harrier,Creature,Kithkin Soldier,Lorwyn,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',0.15,False
Goldmeadow Stalwart,Creature,Kithkin Soldier,Lorwyn,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne Reynolds',0.19,False
Harpoon Sniper,Creature,Merfolk Archer,Lorwyn,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dominick Domingo',0.22,False
Hillcomber Giant,Creature,Giant Scout,Lorwyn,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ralph Horsley',0.05,False
Hoofprints of the Stag,Tribal Enchantment,Elemental,Lorwyn,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.29,False
Judge of Currents,Creature,Merfolk Wizard,Lorwyn,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.15,False
Kinsbaile Balloonist,Creature,Kithkin Soldier,Lorwyn,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.06,False
Kinsbaile Skirmisher,Creature,Kithkin Soldier,Lorwyn,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas Denmark',0.06,False
Kithkin Greatheart,Creature,Kithkin Soldier,Lorwyn,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.09,False
Kithkin Harbinger,Creature,Kithkin Wizard,Lorwyn,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',0.22,False
Kithkin Healer,Creature,Kithkin Cleric,Lorwyn,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.09,False
Knight of Meadowgrain,Creature,Kithkin Knight,Lorwyn,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Larry MacDougall',1.04,False
