names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,reprint,artist,price
Ajani Goldmane,Legendary Planeswalker,Ajani,Magic 2010,Mythic Rare,4,White,True,False,True,True,b'Aleksi Briclot',4.62
Angel's Mercy,Instant,None,Magic 2010,Common,4,White,True,False,True,True,b'Andrew Robinson',0.07
Armored Ascension,Enchantment,Aura,Magic 2010,Uncommon,4,White,True,False,True,True,b'Jesper Ejsing',0.18
Baneslayer Angel,Creature,Angel,Magic 2010,Mythic Rare,5,White,True,False,True,True,b'Greg Staples',7.86
Blinding Mage,Creature,Human Wizard,Magic 2010,Common,2,White,True,False,True,True,b'Eric Deschamps',0.06
Captain of the Watch,Creature,Human Soldier,Magic 2010,Rare,6,White,True,False,True,True,b'Greg Staples',0.55
Celestial Purge,Instant,None,Magic 2010,Uncommon,2,White,True,False,True,True,b'David Palumbo',0.16
Divine Verdict,Instant,None,Magic 2010,Common,4,White,True,False,True,True,b'Kev Walker',0.02
Elite Vanguard,Creature,Human Soldier,Magic 2010,Uncommon,1,White,True,False,True,True,b'Mark Tedin',0.11
Excommunicate,Sorcery,None,Magic 2010,Common,3,White,True,False,True,True,b'Matt Stewart',0.1
Glorious Charge,Instant,None,Magic 2010,Common,2,White,True,False,True,True,b'Izzy',0.03
Griffin Sentinel,Creature,Griffin,Magic 2010,Common,3,White,True,True,True,True,b'Warren Mahy',0.02
Guardian Seraph,Creature,Angel,Magic 2010,Rare,4,White,True,False,True,False,b'Paul Bonner',0.52
Harm's Way,Instant,None,Magic 2010,Uncommon,1,White,True,False,True,True,b'Dan Scott',0.11
Holy Strength,Enchantment,Aura,Magic 2010,Common,1,White,True,False,True,True,b'Terese Nielsen',0.07
Honor of the Pure,Enchantment,None,Magic 2010,Rare,2,White,True,False,True,True,b'Greg Staples',1.27
Indestructibility,Enchantment,Aura,Magic 2010,Rare,4,White,True,False,True,True,b'Darrell Riche',0.87
