names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Aegis of the Heavens,Instant,None,Core Set 2019,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony Palumbo',0.12,False
Aethershield Artificer,Creature,Dwarf Artificer,Core Set 2019,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',0.1,False
Ajani Adversary of Tyrants,Planeswalker,Ajani,Core Set 2019,Mythic Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',4.05,True
Ajani's Last Stand,Enchantment,None,Core Set 2019,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.18,False
Ajani's Pridemate,Creature,Cat Soldier,Core Set 2019,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.17,False
Ajani's Welcome,Enchantment,None,Core Set 2019,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Deschamps',1.5,False
Angel of the Dawn,Creature,Angel,Core Set 2019,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Livia Prima',0.1,False
Cavalry Drillmaster,Creature,Human Knight,Core Set 2019,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.03,False
Cleansing Nova,Sorcery,None,Core Set 2019,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Noah Bradley',1.85,False
Daybreak Chaplain,Creature,Human Cleric,Core Set 2019,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.03,False
Dwarven Priest,Creature,Dwarf Cleric,Core Set 2019,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Even Amundsen',0.06,False
Gallant Cavalry,Creature,Human Knight,Core Set 2019,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Craig J Spearing',0.07,False
Herald of Faith,Creature,Angel,Core Set 2019,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tommy Arnold',0.12,False
Hieromancer's Cage,Enchantment,None,Core Set 2019,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Rainville',0.13,False
Inspired Charge,Instant,None,Core Set 2019,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.02,False
Invoke the Divine,Instant,None,Core Set 2019,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.08,False
Isolate,Instant,None,Core Set 2019,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',0.3,False
Knight of the Tusk,Creature,Human Knight,Core Set 2019,Common,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Ejsing',0.04,False
Knight's Pledge,Enchantment,Aura,Core Set 2019,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.07,False
Knightly Valor,Enchantment,Aura,Core Set 2019,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.08,False
Lena Selfless Champion,Creature,Human Knight,Core Set 2019,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lucas Graciano',0.27,True
Leonin Vanguard,Creature,Cat Soldier,Core Set 2019,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Aaron Miller',0.18,False
Leonin Warleader,Creature,Cat Soldier,Core Set 2019,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jakub Kasper',2.11,False
Loxodon Line Breaker,Creature,Elephant Soldier,Core Set 2019,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Ejsing',0.03,False
Luminous Bonds,Enchantment,Aura,Core Set 2019,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.02,False
Make a Stand,Instant,None,Core Set 2019,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.21,False
Mentor of the Meek,Creature,Human Soldier,Core Set 2019,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jana Schirmer',0.74,False
Mighty Leap,Instant,None,Core Set 2019,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sidharth Chaturvedi',0.02,False
Militia Bugler,Creature,Human Soldier,Core Set 2019,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Gaillet',0.19,False
Novice Knight,Creature,Human Knight,Core Set 2019,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Yongjae Choi',0.17,False
Oreskos Swiftclaw,Creature,Cat Warrior,Core Set 2019,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.04,False
Pegasus Courser,Creature,Pegasus,Core Set 2019,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mathias Kollros',0.02,False
Remorseful Cleric,Creature,Spirit Cleric,Core Set 2019,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Grzegorz Rutkowski',0.75,False
Resplendent Angel,Creature,Angel,Core Set 2019,Mythic Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',12.83,False
Revitalize,Instant,None,Core Set 2019,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.12,False
Rustwing Falcon,Creature,Bird,Core Set 2019,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Paul Scott Canavan',0.09,False
Shield Mare,Creature,Horse,Core Set 2019,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lucas Graciano',0.1,False
Star-Crowned Stag,Creature,Elk,Core Set 2019,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jonathan Kuo',0.01,False
Suncleanser,Creature,Human Cleric,Core Set 2019,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.3,False
Take Vengeance,Sorcery,None,Core Set 2019,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Randy Vargas',0.07,False
Trusty Packbeast,Creature,Beast,Core Set 2019,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Stanko',0.08,False
Valiant Knight,Creature,Human Knight,Core Set 2019,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jakub Kasper',0.35,False
Aether Tunnel,Enchantment,Aura,Core Set 2019,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Lucas Graciano',0.19,False
Anticipate,Instant,None,Core Set 2019,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Tyler Jacobson',0.09,False
Aven Wind Mage,Creature,Bird Wizard,Core Set 2019,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Lius Lasahido',0.05,False
Aviation Pioneer,Creature,Human Artificer,Core Set 2019,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Lake Hurwitz',0.07,False
