names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Accorder Paladin,Creature,Human Knight,Mirrodin Besieged,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kekai Kotaki',0.16,False
Ardent Recruit,Creature,Human Soldier,Mirrodin Besieged,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Bierek',0.1,False
Banishment Decree,Instant,None,Mirrodin Besieged,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'James Ryman',0.04,False
Choking Fumes,Instant,None,Mirrodin Besieged,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott Chou',0.13,False
Divine Offering,Instant,None,Mirrodin Besieged,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.14,False
Frantic Salvage,Instant,None,Mirrodin Besieged,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott Chou',0.11,False
Gore Vassal,Creature,Dog,Mirrodin Besieged,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',0.08,False
Hero of Bladehold,Creature,Human Knight,Mirrodin Besieged,Mythic Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Austin Hsu',5.46,False
Kemba's Legion,Creature,Cat Soldier,Mirrodin Besieged,Uncommon,7,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony Francisco',0.09,False
Leonin Relic-Warder,Creature,Cat Cleric,Mirrodin Besieged,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.2,False
Leonin Skyhunter,Creature,Cat Knight,Mirrodin Besieged,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jana Schirmer',0.11,False
Loxodon Partisan,Creature,Elephant Soldier,Mirrodin Besieged,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.06,False
Master's Call,Instant,None,Mirrodin Besieged,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Rapoza',0.1,False
Mirran Crusader,Creature,Human Knight,Mirrodin Besieged,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Deschamps',1.2,False
Phyrexian Rebirth,Sorcery,None,Mirrodin Besieged,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Chou',0.33,False
Priests of Norn,Creature,Cleric,Mirrodin Besieged,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Igor Kieryluk',0.12,False
Tine Shrike,Creature,Bird,Mirrodin Besieged,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Adrian Smith',0.12,False
Victory's Herald,Creature,Angel,Mirrodin Besieged,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',0.23,False
White Sun's Zenith,Instant,None,Mirrodin Besieged,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Bierek',0.43,False
Blue Sun's Zenith,Instant,None,Mirrodin Besieged,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',2.63,False
Consecrated Sphinx,Creature,Sphinx,Mirrodin Besieged,Mythic Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',32.3,False
