names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Afterlife,Instant,None,Mirage,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.19,False
Alarum,Instant,None,Mirage,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',0.08,False
Auspicious Ancestor,Creature,Human Cleric,Mirage,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Zina Saunders',0.42,False
Benevolent Unicorn,Creature,Unicorn,Mirage,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'David A. Cherry',0.12,False
Blinding Light,Sorcery,None,Mirage,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Hannibal King',0.11,False
Celestial Dawn,Enchantment,None,Mirage,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Liz Danforth',1.06,False
Civic Guildmage,Creature,Human Wizard,Mirage,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',0.08,False
Dazzling Beauty,Instant,None,Mirage,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Harold McNeill',0.17,False
Disempower,Instant,None,Mirage,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Matson',0.07,False
Disenchant,Instant,None,Mirage,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Charles Gillespie',0.12,False
Divine Offering,Instant,None,Mirage,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.12,False
Divine Retribution,Instant,None,Mirage,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Charles Gillespie',0.41,False
Ekundu Griffin,Creature,Griffin,Mirage,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'David A. Cherry',0.09,False
Enlightened Tutor,Instant,None,Mirage,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',38.06,False
Ethereal Champion,Creature,Avatar,Mirage,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.25,False
Favorable Destiny,Enchantment,Aura,Mirage,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Thomas Gianni',0.19,False
Femeref Healer,Creature,Human Cleric,Mirage,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Luke',0.07,False
Femeref Knight,Creature,Human Knight,Mirage,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tony Roberts',0.09,False
Femeref Scouts,Creature,Human Scout,Mirage,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Zak Plucinski',0.07,False
Healing Salve,Instant,None,Mirage,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Hannibal King',0.06,False
Illumination,Instant,None,Mirage,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,"b""David O'Connor""",0.32,False
Iron Tusk Elephant,Creature,Elephant,Mirage,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tony Roberts',0.14,False
Ivory Charm,Instant,None,Mirage,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Gerry Grace',0.09,False
Jabari's Influence,Instant,None,Mirage,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Gerry Grace',0.7,False
Mangara's Blessing,Instant,None,Mirage,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'David A. Cherry',0.15,False
Mangara's Equity,Enchantment,None,Mirage,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Rabinowitz',0.13,False
Melesse Spirit,Creature,Angel Spirit,Mirage,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Gerry Grace',0.18,False
Mtenda Griffin,Creature,Griffin,Mirage,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Janine Johnston',0.23,False
Mtenda Herder,Creature,Human Scout,Mirage,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Zina Saunders',0.11,False
Noble Elephant,Creature,Elephant,Mirage,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tony Roberts',0.11,False
Null Chamber,World Enchantment,None,Mirage,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Douglas Shuler',0.97,False
Pacifism,Enchantment,Aura,Mirage,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Robert Bliss',0.1,False
Pearl Dragon,Creature,Dragon,Mirage,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ian Miller',0.38,False
Prismatic Circle,Enchantment,None,Mirage,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.06,False
Rashida Scalebane,Creature,Human Soldier,Mirage,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.49,True
Ritual of Steel,Enchantment,Aura,Mirage,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Poole',0.08,False
Sacred Mesa,Enchantment,None,Mirage,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Margaret Organ-Kean',0.45,False
Shadowbane,Instant,None,Mirage,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Douglas Shuler',0.12,False
Sidar Jabari,Creature,Human Knight,Mirage,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Gerry Grace',0.53,True
Soul Echo,Enchantment,None,Mirage,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.52,False
Spectral Guardian,Creature,Spirit,Mirage,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mike Dringenberg',0.69,False
Sunweb,Creature,Wall,Mirage,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.28,False
Teremko Griffin,Creature,Griffin,Mirage,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Martin McKenna',0.08,False
Unyaro Griffin,Creature,Griffin,Mirage,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Al Davidson',0.12,False
Vigilant Martyr,Creature,Human Cleric,Mirage,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.2,False
Wall of Resistance,Creature,Wall,Mirage,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Harold McNeill',0.19,False
Ward of Lights,Enchantment,Aura,Mirage,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mike Dringenberg',0.12,False
