names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Afterlife,Instant,None,Mercadian Masques,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Sn\xc3\xb5ddy',0.14,False
Alabaster Wall,Creature,Wall,Mercadian Masques,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.14,False
Armistice,Enchantment,None,Mercadian Masques,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.16,False
Arrest,Enchantment,Aura,Mercadian Masques,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.22,False
Ballista Squad,Creature,Human Rebel,Mercadian Masques,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',0.14,False
Charm Peddler,Creature,Human Spellshaper,Mercadian Masques,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Matson',0.06,False
Charmed Griffin,Creature,Griffin,Mercadian Masques,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ray Lago',0.22,False
Cho-Arrim Alchemist,Creature,Human Spellshaper,Mercadian Masques,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.24,False
Cho-Arrim Bruiser,Creature,Ogre Rebel,Mercadian Masques,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.22,False
Cho-Arrim Legate,Creature,Human Soldier,Mercadian Masques,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'rk post',0.17,False
Cho-Manno Revolutionary,Creature,Human Rebel,Mercadian Masques,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.48,True
Cho-Manno's Blessing,Enchantment,Aura,Mercadian Masques,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Matson',0.52,False
Common Cause,Enchantment,None,Mercadian Masques,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Matson',0.26,False
