names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Ballyrush Banneret,Creature,Kithkin Soldier,Morningtide,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ralph Horsley',0.23,False
Battletide Alchemist,Creature,Kithkin Cleric,Morningtide,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',0.75,False
Burrenton Bombardier,Creature,Kithkin Soldier,Morningtide,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.05,False
Burrenton Shield-Bearers,Creature,Kithkin Soldier,Morningtide,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.03,False
Cenn's Tactician,Creature,Kithkin Soldier,Morningtide,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.29,False
Changeling Sentinel,Creature,Shapeshifter,Morningtide,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chuck Lukacs',0.14,False
Coordinated Barrage,Instant,None,Morningtide,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Franz Vohwinkel',0.14,False
Daily Regimen,Enchantment,Aura,Morningtide,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Warren Mahy',0.12,False
Feudkiller's Verdict,Tribal Sorcery,Giant,Morningtide,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.37,False
Forfend,Instant,None,Morningtide,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Franz Vohwinkel',0.07,False
Graceful Reprieve,Instant,None,Morningtide,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,"b""William O'Connor""",0.17,False
Idyllic Tutor,Sorcery,None,Morningtide,Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Howard Lyon',19.6,False
Indomitable Ancients,Creature,Treefolk Warrior,Morningtide,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',3.4,False
Kinsbaile Borderguard,Creature,Kithkin Soldier,Morningtide,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.86,False
Kinsbaile Cavalier,Creature,Kithkin Knight,Morningtide,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',7.34,False
Kithkin Zephyrnaut,Creature,Kithkin Soldier,Morningtide,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Quinton Hoover',0.05,False
Meadowboon,Creature,Elemental,Morningtide,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.1,False
Mosquito Guard,Creature,Kithkin Soldier,Morningtide,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.08,False
Order of the Golden Cricket,Creature,Kithkin Knight,Morningtide,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.09,False
Preeminent Captain,Creature,Kithkin Soldier,Morningtide,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.55,False
Redeem the Lost,Instant,None,Morningtide,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.11,False
Reveillark,Creature,Elemental,Morningtide,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Murray',1.76,False
Shinewend,Creature,Elemental,Morningtide,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.14,False
Stonehewer Giant,Creature,Giant Warrior,Morningtide,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',9.34,False
Stonybrook Schoolmaster,Creature,Merfolk Wizard,Morningtide,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Quinton Hoover',0.26,False
Swell of Courage,Instant,None,Morningtide,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',0.12,False
Wandering Graybeard,Creature,Giant Wizard,Morningtide,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Nils Hamm',0.12,False
Weight of Conscience,Enchantment,Aura,Morningtide,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.09,False
Declaration of Naught,Enchantment,None,Morningtide,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Rob Alexander',1.38,False
Dewdrop Spy,Creature,Faerie Rogue,Morningtide,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',0.12,False
Disperse,Instant,None,Morningtide,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Ellis',0.16,False
Distant Melody,Sorcery,None,Morningtide,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Omar Rayyan',1.49,False
Fencer Clique,Creature,Faerie Soldier,Morningtide,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,"b""William O'Connor""",0.09,False
Floodchaser,Creature,Elemental,Morningtide,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Fortune',0.08,False
Grimoire Thief,Creature,Merfolk Rogue,Morningtide,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',1.26,False
Ink Dissolver,Creature,Merfolk Wizard,Morningtide,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Brandon Dorman',0.18,False
Inspired Sprite,Creature,Faerie Wizard,Morningtide,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Sutfin',0.19,False
Knowledge Exploitation,Tribal Sorcery,Rogue,Morningtide,Rare,7,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Darrell Riche',3.33,False
Latchkey Faerie,Creature,Faerie Rogue,Morningtide,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Warren Mahy',0.11,False
Merrow Witsniper,Creature,Merfolk Rogue,Morningtide,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',0.1,False
Mind Spring,Sorcery,None,Morningtide,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.29,False
Mothdust Changeling,Creature,Shapeshifter,Morningtide,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Shelly Wan',0.27,False
Negate,Instant,None,Morningtide,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Jeremy Jarvis',0.2,False
Nevermaker,Creature,Elemental,Morningtide,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Chuck Lukacs',0.62,False
Notorious Throng,Tribal Sorcery,Rogue,Morningtide,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Thomas Denmark',7.18,False
Research the Deep,Sorcery,None,Morningtide,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Fortune',0.14,False
Sage of Fables,Creature,Merfolk Wizard,Morningtide,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Shelly Wan',1.61,False
Sage's Dousing,Tribal Instant,Wizard,Morningtide,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Richard Sardinha',0.21,False
Sigil Tracer,Creature,Merfolk Wizard,Morningtide,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',4.07,False
Slithermuse,Creature,Elemental,Morningtide,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',0.58,False
Stonybrook Banneret,Creature,Merfolk Wizard,Morningtide,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ralph Horsley',1.04,False
Stream of Unconsciousness,Tribal Instant,Wizard,Morningtide,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.12,False
Supreme Exemplar,Creature,Elemental,Morningtide,Rare,7,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Tedin',0.48,False
Thieves' Fortune,Tribal Instant,Rogue,Morningtide,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.26,False
Vendilion Clique,Creature,Faerie Wizard,Morningtide,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Sutfin',15.06,True
Waterspout Weavers,Creature,Merfolk Wizard,Morningtide,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Fortune',0.13,False
Auntie's Snitch,Creature,Goblin Rogue,Morningtide,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Warren Mahy',0.24,False
Bitterblossom,Tribal Enchantment,Faerie,Morningtide,Rare,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',31.1,False
Blightsoil Druid,Creature,Elf Druid,Morningtide,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Nils Hamm',0.07,False
Earwig Squad,Creature,Goblin Rogue,Morningtide,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Warren Mahy',0.91,False
Fendeep Summoner,Creature,Treefolk Shaman,Morningtide,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Jesper Ejsing',0.42,False
Festercreep,Creature,Elemental,Morningtide,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Easley',0.09,False
Final-Sting Faerie,Creature,Faerie Assassin,Morningtide,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne Reynolds',0.14,False
Frogtosser Banneret,Creature,Goblin Rogue,Morningtide,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Ralph Horsley',0.29,False
Maralen of the Mornsong,Creature,Elf Wizard,Morningtide,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',5.67,True
Mind Shatter,Sorcery,None,Morningtide,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Sutfin',0.28,False
Moonglove Changeling,Creature,Shapeshifter,Morningtide,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',0.18,False
Morsel Theft,Tribal Sorcery,Rogue,Morningtide,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Darrell Riche',0.12,False
Nightshade Schemers,Creature,Faerie Wizard,Morningtide,Uncommon,5,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.18,False
Noggin Whack,Tribal Sorcery,Rogue,Morningtide,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Pollack',0.2,False
Offalsnout,Creature,Elemental,Morningtide,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Alex Horley-Orlandelli',0.2,False
Oona's Blackguard,Creature,Faerie Rogue,Morningtide,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',1.2,False
Pack's Disdain,Instant,None,Morningtide,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.13,False
Prickly Boggart,Creature,Goblin Rogue,Morningtide,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Jesper Ejsing',0.13,False
Pulling Teeth,Sorcery,None,Morningtide,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Pavelec',0.08,False
Revive the Fallen,Sorcery,None,Morningtide,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',0.23,False
Scarblade Elite,Creature,Elf Assassin,Morningtide,Rare,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.42,False
Squeaking Pie Grubfellows,Creature,Goblin Shaman,Morningtide,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Pavelec',0.07,False
Stenchskipper,Creature,Elemental,Morningtide,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',0.24,False
Stinkdrinker Bandit,Creature,Goblin Rogue,Morningtide,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Brandon Dorman',0.45,False
Violet Pall,Tribal Instant,Faerie,Morningtide,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.1,False
Warren Weirding,Tribal Sorcery,Goblin,Morningtide,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.19,False
Weed-Pruner Poplar,Creature,Treefolk Assassin,Morningtide,Common,5,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.09,False
Weirding Shaman,Creature,Goblin Shaman,Morningtide,Rare,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',0.49,False
Boldwyr Heavyweights,Creature,Giant Warrior,Morningtide,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne Reynolds',0.5,False
Boldwyr Intimidator,Creature,Giant Warrior,Morningtide,Uncommon,7,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.07,False
Borderland Behemoth,Creature,Giant Warrior,Morningtide,Rare,7,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Ejsing',0.22,False
Brighthearth Banneret,Creature,Elemental Warrior,Morningtide,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Ralph Horsley',0.6,False
Countryside Crusher,Creature,Giant Warrior,Morningtide,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Sn\xc3\xb5ddy',0.89,False
Fire Juggler,Creature,Goblin Shaman,Morningtide,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Thomas Denmark',0.06,False
Hostile Realm,Enchantment,Aura,Morningtide,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'John Avon',0.06,False
Kindled Fury,Instant,None,Morningtide,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Shelly Wan',0.01,False
Lightning Crafter,Creature,Goblin Shaman,Morningtide,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',5.41,False
Lunk Errant,Creature,Giant Warrior,Morningtide,Common,6,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Warren Mahy',0.03,False
Mudbutton Clanger,Creature,Goblin Warrior,Morningtide,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Larry MacDougall',0.06,False
Pyroclast Consul,Creature,Elemental Shaman,Morningtide,Uncommon,5,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.08,False
Rage Forger,Creature,Elemental Shaman,Morningtide,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Dominick Domingo',0.33,False
Release the Ants,Instant,None,Morningtide,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.17,False
Rivals' Duel,Sorcery,None,Morningtide,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.07,False
Roar of the Crowd,Sorcery,None,Morningtide,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.14,False
Seething Pathblazer,Creature,Elemental Warrior,Morningtide,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',0.04,False
Sensation Gorger,Creature,Goblin Shaman,Morningtide,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',2.92,False
Shard Volley,Instant,None,Morningtide,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Franz Vohwinkel',0.44,False
Shared Animosity,Enchantment,None,Morningtide,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Chuck Lukacs',6.13,False
Spitebellows,Creature,Elemental,Morningtide,Uncommon,6,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Larry MacDougall',0.17,False
Stingmoggie,Creature,Elemental,Morningtide,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Omar Rayyan',0.12,False
Stomping Slabs,Sorcery,None,Morningtide,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Horley-Orlandelli',0.11,False
Sunflare Shaman,Creature,Elemental Shaman,Morningtide,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.14,False
Taurean Mauler,Creature,Shapeshifter,Morningtide,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Dominick Domingo',2.24,False
Titan's Revenge,Sorcery,None,Morningtide,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.23,False
Vengeful Firebrand,Creature,Elemental Warrior,Morningtide,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,True,"b""William O'Connor""",0.24,False
War-Spike Changeling,Creature,Shapeshifter,Morningtide,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',0.11,False
Ambassador Oak,Creature,Treefolk Warrior,Morningtide,Common,4,Green,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',0.05,False
Bosk Banneret,Creature,Treefolk Shaman,Morningtide,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Ralph Horsley',0.17,False
Bramblewood Paragon,Creature,Elf Warrior,Morningtide,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Murray',1.33,False
Chameleon Colossus,Creature,Shapeshifter,Morningtide,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,True,b'Darrell Riche',3.13,False
Cream of the Crop,Enchantment,None,Morningtide,Rare,2,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',4.25,False
Deglamer,Instant,None,Morningtide,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.2,False
Earthbrawn,Instant,None,Morningtide,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.07,False
Elvish Warrior,Creature,Elf Warrior,Morningtide,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.07,False
Everbark Shaman,Creature,Treefolk Shaman,Morningtide,Common,5,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Larry MacDougall',0.11,False
Fertilid,Creature,Elemental,Morningtide,Common,3,Green,Legal,Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.45,False
Game-Trail Changeling,Creature,Shapeshifter,Morningtide,Common,5,Green,Legal,Not Legal,Legal,Legal,Legal,True,b'Martina Pilcerova',0.23,False
Gilt-Leaf Archdruid,Creature,Elf Druid,Morningtide,Rare,5,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',5.94,False
Greatbow Doyen,Creature,Elf Archer,Morningtide,Rare,5,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',0.61,False
Heritage Druid,Creature,Elf Druid,Morningtide,Uncommon,1,Green,Legal,Not Legal,Legal,Legal,Legal,True,b'Larry MacDougall',3.67,False
Hunting Triad,Tribal Sorcery,Elf,Morningtide,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',0.16,False
Leaf-Crowned Elder,Creature,Treefolk Shaman,Morningtide,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne Reynolds',1.95,False
Luminescent Rain,Instant,None,Morningtide,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'John Avon',0.22,False
Lys Alana Bowmaster,Creature,Elf Archer,Morningtide,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.13,False
Orchard Warden,Creature,Treefolk Shaman,Morningtide,Uncommon,6,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.31,False
Reach of Branches,Tribal Instant,Treefolk,Morningtide,Rare,5,Green,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Hampton',0.38,False
Recross the Paths,Sorcery,None,Morningtide,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.43,False
Reins of the Vinesteed,Enchantment,Aura,Morningtide,Common,4,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Pavelec',0.08,False
Rhys the Exiled,Creature,Elf Warrior,Morningtide,Rare,3,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',1.53,True
Scapeshift,Sorcery,None,Morningtide,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,True,b'Fred Fields',13.42,False
Unstoppable Ash,Creature,Treefolk Warrior,Morningtide,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',1.12,False
Walker of the Grove,Creature,Elemental,Morningtide,Uncommon,8,Green,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',0.11,False
Winnower Patrol,Creature,Elf Warrior,Morningtide,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Fortune',0.1,False
Wolf-Skull Shaman,Creature,Elf Shaman,Morningtide,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Murray',0.31,False
Cloak and Dagger,Tribal Artifact,Rogue Equipment,Morningtide,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.74,False
