names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Altar's Light,Instant,None,Mirrodin,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.1,False
Arrest,Enchantment,Aura,Mirrodin,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tim Hildebrandt',0.09,False
Auriok Bladewarden,Creature,Human Soldier,Mirrodin,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.15,False
Auriok Steelshaper,Creature,Human Soldier,Mirrodin,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dany Orizio',1.42,False
Auriok Transfixer,Creature,Human Scout,Mirrodin,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Stephen Tappin',0.08,False
Awe Strike,Instant,None,Mirrodin,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.17,False
Blinding Beam,Instant,None,Mirrodin,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Doug Chaffee',0.09,False
Leonin Abunas,Creature,Cat Cleric,Mirrodin,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Darrell Riche',2.67,False
Leonin Den-Guard,Creature,Cat Soldier,Mirrodin,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',0.14,False
Leonin Elder,Creature,Cat Cleric,Mirrodin,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',0.17,False
Leonin Skyhunter,Creature,Cat Knight,Mirrodin,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.17,False
Loxodon Mender,Creature,Elephant Cleric,Mirrodin,Common,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.1,False
Loxodon Peacekeeper,Creature,Elephant Soldier,Mirrodin,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Sutfin',0.2,False
Loxodon Punisher,Creature,Elephant Soldier,Mirrodin,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.27,False
Luminous Angel,Creature,Angel,Mirrodin,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',0.42,False
Raise the Alarm,Instant,None,Mirrodin,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'John Matson',0.15,False
Razor Barrier,Instant,None,Mirrodin,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.11,False
Roar of the Kha,Instant,None,Mirrodin,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',0.16,False
Rule of Law,Enchantment,None,Mirrodin,Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',0.64,False
Second Sunrise,Instant,None,Mirrodin,Rare,3,White,Banned,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',2.18,False
Skyhunter Cub,Creature,Cat Knight,Mirrodin,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.13,False
Skyhunter Patrol,Creature,Cat Knight,Mirrodin,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.11,False
Slith Ascendant,Creature,Slith,Mirrodin,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Justin Sweet',0.09,False
Solar Tide,Sorcery,None,Mirrodin,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.99,False
Soul Nova,Instant,None,Mirrodin,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Keith Garletts',0.1,False
Sphere of Purity,Enchantment,None,Mirrodin,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Thomas Gianni',0.08,False
Taj-Nar Swordsmith,Creature,Cat Soldier,Mirrodin,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',0.17,False
Tempest of Light,Instant,None,Mirrodin,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne England',0.15,False
Annul,Instant,None,Mirrodin,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Sn\xc3\xb5ddy',0.18,False
Assert Authority,Instant,None,Mirrodin,Uncommon,7,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.13,False
Broodstar,Creature,Beast,Mirrodin,Rare,10,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Glen Angus',0.63,False
Disarm,Instant,None,Mirrodin,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Alex Horley-Orlandelli',0.12,False
Domineer,Enchantment,Aura,Mirrodin,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jon Foster',0.11,False
Dream's Grip,Instant,None,Mirrodin,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Nelson',0.64,False
Fabricate,Sorcery,None,Mirrodin,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Glen Angus',6.14,False
Fatespinner,Creature,Human Wizard,Mirrodin,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',4.87,False
Inertia Bubble,Enchantment,Aura,Mirrodin,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Hugh Jamieson',0.11,False
