names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angelic Favor,Instant,None,Nemesis,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.19,False
Avenger en-Dal,Creature,Human Spellshaper,Nemesis,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.25,False
Blinding Angel,Creature,Angel,Nemesis,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',1.86,False
Chieftain en-Dal,Creature,Human Knight,Nemesis,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dany Orizio',0.16,False
Defender en-Vec,Creature,Human Cleric,Nemesis,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bradley Williams',0.05,False
Defiant Falcon,Creature,Rebel Bird,Nemesis,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.15,False
Defiant Vanguard,Creature,Human Rebel,Nemesis,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.17,False
Fanatical Devotion,Enchantment,None,Nemesis,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Massimilano Frezzato',1.32,False
Lashknife,Enchantment,Aura,Nemesis,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Hannibal King',0.05,False
Lawbringer,Creature,Kor Rebel,Nemesis,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',0.13,False
Lightbringer,Creature,Kor Rebel,Nemesis,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.12,False
Lin Sivvi Defiant Hero,Creature,Human Rebel,Nemesis,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'rk post',1.04,True
Netter en-Dal,Creature,Human Spellshaper,Nemesis,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',0.06,False
Noble Stand,Enchantment,None,Nemesis,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.12,False
Off Balance,Instant,None,Nemesis,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.07,False
Oracle's Attendants,Creature,Human Soldier,Nemesis,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dany Orizio',0.19,False
Parallax Wave,Enchantment,None,Nemesis,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',4.08,False
Seal of Cleansing,Enchantment,None,Nemesis,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.22,False
Silkenfist Fighter,Creature,Kor Soldier,Nemesis,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Brill',0.05,False
Silkenfist Order,Creature,Kor Soldier,Nemesis,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.13,False
Sivvi's Ruse,Instant,None,Nemesis,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.17,False
Sivvi's Valor,Instant,None,Nemesis,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.27,False
Spiritual Asylum,Enchantment,None,Nemesis,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',0.75,False
Topple,Sorcery,None,Nemesis,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.1,False
Voice of Truth,Creature,Angel,Nemesis,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'rk post',0.22,False
Accumulated Knowledge,Instant,None,Nemesis,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.27,False
Aether Barrier,Enchantment,None,Nemesis,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'David Martin',1.11,False
Air Bladder,Enchantment,Aura,Nemesis,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Donato Giancola',0.06,False
Cloudskate,Creature,Illusion,Nemesis,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.09,False
Daze,Instant,None,Nemesis,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',0.89,False
Dominate,Instant,None,Nemesis,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Hampton',0.18,False
Ensnare,Instant,None,Nemesis,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Gao Yan',0.32,False
Infiltrate,Instant,None,Nemesis,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Nelson DeCastro',0.13,False
Jolting Merfolk,Creature,Merfolk,Nemesis,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Glen Angus',0.17,False
Oraxid,Creature,Crab Beast,Nemesis,Common,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.11,False
Pale Moon,Instant,None,Nemesis,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.33,False
Parallax Tide,Enchantment,None,Nemesis,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',1.1,False
Rising Waters,Enchantment,None,Nemesis,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',1.83,False
Rootwater Commando,Creature,Merfolk,Nemesis,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.06,False
Rootwater Thief,Creature,Merfolk Rogue,Nemesis,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',1.65,False
Seahunter,Creature,Human Mercenary,Nemesis,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',2.89,False
Seal of Removal,Enchantment,None,Nemesis,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.28,False
Sliptide Serpent,Creature,Serpent,Nemesis,Rare,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.23,False
Sneaky Homunculus,Creature,Homunculus Illusion,Nemesis,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',0.05,False
Stronghold Biologist,Creature,Human Spellshaper,Nemesis,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.17,False
Stronghold Machinist,Creature,Human Spellshaper,Nemesis,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.22,False
Stronghold Zeppelin,Creature,Human,Nemesis,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Arnie Swekel',0.13,False
Submerge,Instant,None,Nemesis,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Romanoski',1.07,False
Trickster Mage,Creature,Human Spellshaper,Nemesis,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Rabinowitz',0.09,False
