names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Karn Liberated,Planeswalker,Karn,New Phyrexia,Mythic Rare,7,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',35.89,True
Apostle's Blessing,Instant,None,New Phyrexia,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brad Rigney',0.26,False
Auriok Survivors,Creature,Human Soldier,New Phyrexia,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'James Ryman',0.09,False
Blade Splicer,Creature,Human Artificer,New Phyrexia,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.88,False
Cathedral Membrane,Artifact Creature,Wall,New Phyrexia,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Richard Whitters',0.23,False
Chancellor of the Annex,Creature,Angel,New Phyrexia,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Min Yum',2.53,False
Dispatch,Instant,None,New Phyrexia,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Erica Yang',0.96,False
Due Respect,Instant,None,New Phyrexia,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'James Ryman',0.12,False
Elesh Norn Grand Cenobite,Creature,Praetor,New Phyrexia,Mythic Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',20.44,True
Exclusion Ritual,Enchantment,None,New Phyrexia,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Daniel Ljunggren',0.1,False
Forced Worship,Enchantment,Aura,New Phyrexia,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.08,False
Inquisitor Exarch,Creature,Cleric,New Phyrexia,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Igor Kieryluk',0.13,False
Lost Leonin,Creature,Cat Soldier,New Phyrexia,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Min Yum',0.16,False
Loxodon Convert,Creature,Elephant Soldier,New Phyrexia,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Adrian Smith',0.06,False
Marrow Shards,Instant,None,New Phyrexia,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Raymond Swanland',0.14,False
Master Splicer,Creature,Human Artificer,New Phyrexia,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Chippy',0.11,False
Norn's Annex,Artifact,None,New Phyrexia,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Paick',4.56,False
Phyrexian Unlife,Enchantment,None,New Phyrexia,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jason Chan',3.64,False
Porcelain Legionnaire,Artifact Creature,Soldier,New Phyrexia,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Deschamps',0.15,False
Puresteel Paladin,Creature,Human Knight,New Phyrexia,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jason Chan',12.72,False
Remember the Fallen,Sorcery,None,New Phyrexia,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Deschamps',0.14,False
Sensor Splicer,Creature,Artificer,New Phyrexia,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',0.07,False
Shattered Angel,Creature,Angel,New Phyrexia,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.61,False
Shriek Raptor,Creature,Bird,New Phyrexia,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Efrem Palacios',0.12,False
Suture Priest,Creature,Cleric,New Phyrexia,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.92,False
War Report,Instant,None,New Phyrexia,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Mike Bierek',0.12,False
Argent Mutation,Instant,None,New Phyrexia,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jana Schirmer',0.09,False
Arm with Aether,Sorcery,None,New Phyrexia,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Austin Hsu',0.15,False
Blighted Agent,Creature,Human Rogue,New Phyrexia,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony Francisco',0.78,False
Chained Throatseeker,Creature,Horror,New Phyrexia,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Stephan Martiniere',0.11,False
Chancellor of the Spires,Creature,Sphinx,New Phyrexia,Rare,7,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Nils Hamm',0.42,False
