names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Aegis of Honor,Enchantment,None,Odyssey,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.56,False
Ancestral Tribute,Sorcery,None,Odyssey,Rare,7,White,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.27,False
Angelic Wall,Creature,Wall,Odyssey,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',0.15,False
Animal Boneyard,Enchantment,Aura,Odyssey,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.22,False
Auramancer,Creature,Human Wizard,Odyssey,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.18,False
Aven Archer,Creature,Bird Soldier Archer,Odyssey,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.18,False
Aven Cloudchaser,Creature,Bird Soldier,Odyssey,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Justin Sweet',0.19,False
Aven Flock,Creature,Bird Soldier,Odyssey,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.13,False
Aven Shrine,Enchantment,None,Odyssey,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',0.2,False
Balancing Act,Sorcery,None,Odyssey,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.51,False
Beloved Chaplain,Creature,Human Cleric,Odyssey,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Darrell Riche',0.26,False
Blessed Orator,Creature,Human Cleric,Odyssey,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.12,False
Cantivore,Creature,Lhurgoyf,Odyssey,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.29,False
Cease-Fire,Instant,None,Odyssey,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Darrell Riche',0.06,False
Confessor,Creature,Human Cleric,Odyssey,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Avon',0.13,False
Dedicated Martyr,Creature,Human Cleric,Odyssey,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.05,False
Delaying Shield,Enchantment,None,Odyssey,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Luca Zontini',2.16,False
Devoted Caretaker,Creature,Human Cleric,Odyssey,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Clyde Caldwell',1.28,False
Divine Sacrament,Enchantment,None,Odyssey,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ray Lago',1.1,False
Dogged Hunter,Creature,Human Nomad,Odyssey,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'rk post',0.18,False
Earnest Fellowship,Enchantment,None,Odyssey,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.4,False
Embolden,Instant,None,Odyssey,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.11,False
Gallantry,Instant,None,Odyssey,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.1,False
Graceful Antelope,Creature,Antelope,Odyssey,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.2,False
Hallowed Healer,Creature,Human Cleric,Odyssey,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ben Thompson',0.09,False
Karmic Justice,Enchantment,None,Odyssey,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ray Lago',8.64,False
Kirtar's Desire,Enchantment,Aura,Odyssey,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.16,False
Kirtar's Wrath,Sorcery,None,Odyssey,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.42,False
Lieutenant Kirtar,Creature,Bird Soldier,Odyssey,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',1.2,True
Life Burst,Instant,None,Odyssey,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Avon',0.17,False
Luminous Guardian,Creature,Human Nomad,Odyssey,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.24,False
Master Apothecary,Creature,Human Cleric,Odyssey,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.5,False
Mystic Crusader,Creature,Human Nomad Mystic,Odyssey,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.3,False
Mystic Penitent,Creature,Human Nomad Mystic,Odyssey,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Larry Elmore',0.09,False
Mystic Visionary,Creature,Human Nomad Mystic,Odyssey,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Cavotta',0.05,False
Mystic Zealot,Creature,Human Nomad Mystic,Odyssey,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.09,False
Nomad Decoy,Creature,Human Nomad,Odyssey,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.08,False
Patrol Hound,Creature,Dog,Odyssey,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.11,False
Pianna Nomad Captain,Creature,Human Nomad,Odyssey,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'D. Alexander Gregory',0.42,True
Pilgrim of Justice,Creature,Human Cleric,Odyssey,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dany Orizio',0.07,False
Pilgrim of Virtue,Creature,Human Cleric,Odyssey,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Massimilano Frezzato',0.13,False
Ray of Distortion,Instant,None,Odyssey,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.07,False
Resilient Wanderer,Creature,Human Nomad,Odyssey,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Clyde Caldwell',0.18,False
Sacred Rites,Instant,None,Odyssey,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bradley Williams',0.12,False
Second Thoughts,Instant,None,Odyssey,Common,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ray Lago',0.08,False
Shelter,Instant,None,Odyssey,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.23,False
Soulcatcher,Creature,Bird Soldier,Odyssey,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.19,False
Sphere of Duty,Enchantment,None,Odyssey,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.2,False
Sphere of Grace,Enchantment,None,Odyssey,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.14,False
Sphere of Law,Enchantment,None,Odyssey,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.15,False
Sphere of Reason,Enchantment,None,Odyssey,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.13,False
Sphere of Truth,Enchantment,None,Odyssey,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.16,False
Spiritualize,Instant,None,Odyssey,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.25,False
Tattoo Ward,Enchantment,Aura,Odyssey,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ben Thompson',0.14,False
Testament of Faith,Enchantment,None,Odyssey,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Roger Raupp',0.16,False
Tireless Tribe,Creature,Human Nomad,Odyssey,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.29,False
Wayward Angel,Creature,Angel Horror,Odyssey,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Tedin',0.45,False
Aboshan Cephalid Emperor,Creature,Cephalid Noble,Odyssey,Rare,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.58,True
Aboshan's Desire,Enchantment,Aura,Odyssey,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ciruelo',0.16,False
Aether Burst,Instant,None,Odyssey,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Adam Rex',0.1,False
Amugaba,Creature,Illusion,Odyssey,Rare,7,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.22,False
Aura Graft,Instant,None,Odyssey,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ray Lago',0.14,False
Aven Fisher,Creature,Bird Soldier,Odyssey,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.1,False
Aven Smokeweaver,Creature,Bird Soldier,Odyssey,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.11,False
Aven Windreader,Creature,Bird Soldier Wizard,Odyssey,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.07,False
Balshan Beguiler,Creature,Human Wizard,Odyssey,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ray Lago',0.13,False
Balshan Griffin,Creature,Griffin,Odyssey,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',0.07,False
Bamboozle,Sorcery,None,Odyssey,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Pollack',0.21,False
Battle of Wits,Enchantment,None,Odyssey,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Brill',0.28,False
Careful Study,Sorcery,None,Odyssey,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',1.2,False
Cephalid Broker,Creature,Cephalid,Odyssey,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Dorman',0.17,False
Cephalid Looter,Creature,Cephalid Rogue,Odyssey,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Keith Garletts',0.13,False
Cephalid Retainer,Creature,Cephalid,Odyssey,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tony Szczudlo',0.17,False
Cephalid Scout,Creature,Cephalid Wizard Scout,Odyssey,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Pollack',0.05,False
Cephalid Shrine,Enchantment,None,Odyssey,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',0.27,False
Chamber of Manipulation,Enchantment,Aura,Odyssey,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Wayne England',1.52,False
Cognivore,Creature,Lhurgoyf,Odyssey,Rare,8,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Adam Rex',0.25,False
Concentrate,Sorcery,None,Odyssey,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Glen Angus',0.17,False
