names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Deceiver of Form,Creature,Eldrazi,Oath of the Gatewatch,Rare,7,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Viktor Titov',0.34,False
Eldrazi Mimic,Creature,Eldrazi,Oath of the Gatewatch,Rare,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Craig J Spearing',0.7,False
Endbringer,Creature,Eldrazi,Oath of the Gatewatch,Rare,6,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Vincent Proce',0.76,False
Kozilek the Great Distortion,Creature,Eldrazi,Oath of the Gatewatch,Mythic Rare,10,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',13.66,True
Kozilek's Pathfinder,Creature,Eldrazi,Oath of the Gatewatch,Common,6,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'James Zapata',0.09,False
Matter Reshaper,Creature,Eldrazi,Oath of the Gatewatch,Rare,3,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',1.85,False
Reality Smasher,Creature,Eldrazi,Oath of the Gatewatch,Rare,5,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Rainville',2.29,False
Spatial Contortion,Instant,None,Oath of the Gatewatch,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.27,False
Thought-Knot Seer,Creature,Eldrazi,Oath of the Gatewatch,Rare,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',6.09,False
Walker of the Wastes,Creature,Eldrazi,Oath of the Gatewatch,Uncommon,5,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Joseph Meehan',0.21,False
Warden of Geometries,Creature,Eldrazi Drone,Oath of the Gatewatch,Common,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',0.19,False
Warping Wail,Instant,None,Oath of the Gatewatch,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',0.44,False
Eldrazi Displacer,Creature,Eldrazi,Oath of the Gatewatch,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',3.06,False
