names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Akroma's Blessing,Instant,None,Onslaught,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.29,False
Akroma's Vengeance,Sorcery,None,Onslaught,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.93,False
Ancestor's Prophet,Creature,Human Cleric,Onslaught,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.4,False
Astral Slide,Enchantment,None,Onslaught,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',5.27,False
Aura Extraction,Instant,None,Onslaught,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Luca Zontini',0.17,False
Aurification,Enchantment,None,Onslaught,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Gary Ruddell',2.34,False
Aven Brigadier,Creature,Bird Soldier,Onslaught,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.84,False
Aven Soulgazer,Creature,Bird Cleric,Onslaught,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Avon',0.12,False
Battlefield Medic,Creature,Human Cleric,Onslaught,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Thompson',0.15,False
Catapult Master,Creature,Human Soldier,Onslaught,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.49,False
Catapult Squad,Creature,Human Soldier,Onslaught,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.14,False
Chain of Silence,Instant,None,Onslaught,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.11,False
Circle of Solace,Enchantment,None,Onslaught,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.2,False
Convalescent Care,Enchantment,None,Onslaught,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.15,False
Crowd Favorites,Creature,Human Soldier,Onslaught,Uncommon,7,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Roger Raupp',0.1,False
Crown of Awe,Enchantment,Aura,Onslaught,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Elliott',0.15,False
Crude Rampart,Creature,Wall,Onslaught,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Sam Wood',0.11,False
Daru Cavalier,Creature,Human Soldier,Onslaught,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dany Orizio',0.06,False
Daru Healer,Creature,Human Cleric,Onslaught,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dany Orizio',0.03,False
Daru Lancer,Creature,Human Soldier,Onslaught,Common,6,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.04,False
Daunting Defender,Creature,Human Cleric,Onslaught,Common,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.09,False
Dawning Purist,Creature,Human Cleric,Onslaught,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.07,False
Defensive Maneuvers,Instant,None,Onslaught,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Luca Zontini',0.09,False
Demystify,Instant,None,Onslaught,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',0.07,False
Disciple of Grace,Creature,Human Cleric,Onslaught,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas M. Baxa',0.08,False
Dive Bomber,Creature,Bird Soldier,Onslaught,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.08,False
Doubtless One,Creature,Cleric Avatar,Onslaught,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Justin Sweet',0.15,False
