names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Akroan Jailer,Creature,Human Soldier,Magic Origins,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Anastasia Ovchinnikova',0.06,False
Ampryn Tactician,Creature,Human Soldier,Magic Origins,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Cynthia Sheppard',0.06,False
Anointer of Champions,Creature,Human Cleric,Magic Origins,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anna Steinbauer',0.08,False
Archangel of Tithes,Creature,Angel,Magic Origins,Mythic Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Cynthia Sheppard',12.42,False
Auramancer,Creature,Human Wizard,Magic Origins,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.14,False
Aven Battle Priest,Creature,Bird Cleric,Magic Origins,Common,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Severin Brassell',0.03,False
Blessed Spirits,Creature,Spirit,Magic Origins,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anna Steinbauer',0.1,False
Celestial Flare,Instant,None,Magic Origins,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Clint Cearley',0.1,False
Charging Griffin,Creature,Griffin,Magic Origins,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Erica Yang',0.02,False
Cleric of the Forward Order,Creature,Human Cleric,Magic Origins,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chris Rallis',0.06,False
Consul's Lieutenant,Creature,Human Soldier,Magic Origins,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.14,False
Enlightened Ascetic,Creature,Cat Monk,Magic Origins,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Zapata',0.13,False
Enshrouding Mist,Instant,None,Magic Origins,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',0.05,False
Gideon's Phalanx,Instant,None,Magic Origins,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.17,False
Grasp of the Hieromancer,Enchantment,Aura,Magic Origins,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.06,False
Hallowed Moonlight,Instant,None,Magic Origins,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Mike Bierek',0.29,False
Healing Hands,Sorcery,None,Magic Origins,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Josu Hernaiz',0.09,False
Heavy Infantry,Creature,Human Soldier,Magic Origins,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Gaillet',0.03,False
Hixus Prison Warden,Creature,Human Soldier,Magic Origins,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rallis',0.15,True
Knight of the Pilgrim's Road,Creature,Human Knight,Magic Origins,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'David Gaillet',0.07,False
Knight of the White Orchid,Creature,Human Knight,Magic Origins,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',3.03,False
Knightly Valor,Enchantment,Aura,Magic Origins,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.07,False
Kytheon Hero of Akros,Creature,Human Soldier,Magic Origins,Mythic Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Willian Murai',4.0,True
Kytheon's Irregulars,Creature,Human Soldier,Magic Origins,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Winters',0.12,False
Kytheon's Tactics,Sorcery,None,Magic Origins,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Raymond Swanland',0.04,False
Mighty Leap,Instant,None,Magic Origins,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',0.03,False
Murder Investigation,Enchantment,Aura,Magic Origins,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.11,False
Patron of the Valiant,Creature,Angel,Magic Origins,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.11,False
Relic Seeker,Creature,Human Soldier,Magic Origins,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Volkan Ba\xc7\xb5a',0.25,False
