names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Abolish,Instant,None,Prophecy,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.27,False
Aura Fracture,Enchantment,None,Prophecy,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.17,False
Avatar of Hope,Creature,Avatar,Prophecy,Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',0.4,False
Blessed Wind,Sorcery,None,Prophecy,Rare,9,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony S. Waters',0.27,False
Celestial Convergence,Enchantment,None,Prophecy,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ray Lago',0.79,False
Diving Griffin,Creature,Griffin,Prophecy,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Howe',0.11,False
Entangler,Enchantment,Aura,Prophecy,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'D. Alexander Gregory',0.46,False
Excise,Instant,None,Prophecy,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Joel Biske',0.09,False
Flowering Field,Enchantment,Aura,Prophecy,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.14,False
Glittering Lion,Creature,Cat,Prophecy,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Don Hazeltine',0.14,False
Glittering Lynx,Creature,Cat,Prophecy,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Frazier',0.17,False
Jeweled Spirit,Creature,Spirit,Prophecy,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.2,False
Mageta the Lion,Creature,Human Spellshaper,Prophecy,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brom',0.82,True
Mageta's Boon,Enchantment,Aura,Prophecy,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bradley Williams',0.08,False
Mercenary Informer,Creature,Human Rebel Mercenary,Prophecy,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Nelson DeCastro',0.26,False
Mine Bearer,Creature,Human Soldier,Prophecy,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'D. Alexander Gregory',0.13,False
Mirror Strike,Instant,None,Prophecy,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Dorman',0.32,False
Reveille Squad,Creature,Human Rebel,Prophecy,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.28,False
Rhystic Circle,Enchantment,None,Prophecy,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Pollack',0.1,False
Rhystic Shield,Instant,None,Prophecy,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.07,False
Samite Sanctuary,Enchantment,None,Prophecy,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ben Thompson',0.3,False
Sheltering Prayers,Enchantment,None,Prophecy,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Nelson DeCastro',0.26,False
