names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Aven Riftwatcher,Creature,Bird Rebel Soldier,Planar Chaos,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Don Hazeltine',0.13,False
Crovax Ascendant Hero,Creature,Human Noble,Planar Chaos,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',1.1,True
Dawn Charm,Instant,None,Planar Chaos,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',0.52,False
Dust Elemental,Creature,Elemental,Planar Chaos,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'rk post',0.45,False
Ghost Tactician,Creature,Spirit Spellshaper,Planar Chaos,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.05,False
Magus of the Tabernacle,Creature,Human Wizard,Planar Chaos,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.58,False
Mantle of Leadership,Enchantment,Aura,Planar Chaos,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Thomas M. Baxa',0.16,False
Pallid Mycoderm,Creature,Fungus,Planar Chaos,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',0.17,False
Poultice Sliver,Creature,Sliver,Planar Chaos,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.22,False
Rebuff the Wicked,Instant,None,Planar Chaos,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Stephen Tappin',5.42,False
Retether,Sorcery,None,Planar Chaos,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',5.11,False
Saltblast,Sorcery,None,Planar Chaos,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.11,False
Saltfield Recluse,Creature,Human Rebel Cleric,Planar Chaos,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Despain',0.08,False
Serra's Boon,Enchantment,Aura,Planar Chaos,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.21,False
Stonecloaker,Creature,Gargoyle,Planar Chaos,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tomas Giorello',0.31,False
Stormfront Riders,Creature,Human Soldier,Planar Chaos,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.2,False
Voidstone Gargoyle,Creature,Gargoyle,Planar Chaos,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.25,False
Whitemane Lion,Creature,Cat,Planar Chaos,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.17,False
Calciderm,Creature,Beast,Planar Chaos,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Kendall',0.16,False
Malach of the Dawn,Creature,Angel,Planar Chaos,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Prescott',0.15,False
Mana Tithe,Instant,None,Planar Chaos,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Martina Pilcerova',0.98,False
Mesa Enchantress,Creature,Human Druid,Planar Chaos,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.58,False
Mycologist,Creature,Human Druid,Planar Chaos,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.24,False
Porphyry Nodes,Enchantment,None,Planar Chaos,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Alan Pollack',1.84,False
Revered Dead,Creature,Spirit Soldier,Planar Chaos,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.08,False
Sinew Sliver,Creature,Sliver,Planar Chaos,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',2.16,False
