names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Auratouched Mage,Creature,Human Wizard,Ravnica: City of Guilds,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Miracola',0.19,False
Bathe in Light,Instant,None,Ravnica: City of Guilds,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Alex Horley-Orlandelli',0.25,False
Benevolent Ancestor,Creature,Spirit,Ravnica: City of Guilds,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Nick Percival',0.06,False
Blazing Archon,Creature,Archon,Ravnica: City of Guilds,Rare,9,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',1.95,False
Boros Fury-Shield,Instant,None,Ravnica: City of Guilds,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne England',0.13,False
Caregiver,Creature,Human Cleric,Ravnica: City of Guilds,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'William Simpson',0.05,False
Chant of Vitu-Ghazi,Instant,None,Ravnica: City of Guilds,Uncommon,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Tappin',0.16,False
Concerted Effort,Enchantment,None,Ravnica: City of Guilds,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Sutfin',3.34,False
Conclave Equenaut,Creature,Human Soldier,Ravnica: City of Guilds,Common,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.06,False
Conclave Phalanx,Creature,Human Soldier,Ravnica: City of Guilds,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.12,False
Conclave's Blessing,Enchantment,Aura,Ravnica: City of Guilds,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Shishizaru',0.1,False
Courier Hawk,Creature,Bird,Ravnica: City of Guilds,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',0.08,False
Devouring Light,Instant,None,Ravnica: City of Guilds,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.11,False
Divebomber Griffin,Creature,Griffin,Ravnica: City of Guilds,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.06,False
Dromad Purebred,Creature,Camel Beast,Ravnica: City of Guilds,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.08,False
Faith's Fetters,Enchantment,Aura,Ravnica: City of Guilds,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chippy',0.1,False
