names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Baffling End,Enchantment,None,Rivals of Ixalan,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mathias Kollros',0.24,False
Bishop of Binding,Creature,Vampire Cleric,Rivals of Ixalan,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Bastien L. Deharme',0.25,False
Blazing Hope,Instant,None,Rivals of Ixalan,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Clint Cearley',0.05,False
Cleansing Ray,Sorcery,None,Rivals of Ixalan,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony Palumbo',0.03,False
Divine Verdict,Instant,None,Rivals of Ixalan,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.05,False
Everdawn Champion,Creature,Human Soldier,Rivals of Ixalan,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sara Winters',0.1,False
Exultant Skymarcher,Creature,Vampire Soldier,Rivals of Ixalan,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Yee',0.04,False
Famished Paladin,Creature,Vampire Knight,Rivals of Ixalan,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tommy Arnold',0.14,False
Forerunner of the Legion,Creature,Vampire Knight,Rivals of Ixalan,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Josh Hass',0.26,False
Imperial Ceratops,Creature,Dinosaur,Rivals of Ixalan,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Bayard Wu',0.1,False
Legion Conquistador,Creature,Vampire Soldier,Rivals of Ixalan,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sidharth Chaturvedi',0.06,False
Luminous Bonds,Enchantment,Aura,Rivals of Ixalan,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.02,False
Majestic Heliopterus,Creature,Dinosaur,Rivals of Ixalan,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Filip Burburan',0.14,False
Martyr of Dusk,Creature,Vampire Soldier,Rivals of Ixalan,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.1,False
Moment of Triumph,Instant,None,Rivals of Ixalan,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.08,False
Paladin of Atonement,Creature,Vampire Knight,Rivals of Ixalan,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lius Lasahido',0.32,False
Pride of Conquerors,Instant,None,Rivals of Ixalan,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tomasz Jedruszek',0.1,False
Radiant Destiny,Enchantment,None,Rivals of Ixalan,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Emrah Elmasli',1.16,False
Raptor Companion,Creature,Dinosaur,Rivals of Ixalan,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.03,False
Sanguine Glorifier,Creature,Vampire Cleric,Rivals of Ixalan,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sara Winters',0.05,False
Skymarcher Aspirant,Creature,Vampire Soldier,Rivals of Ixalan,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Winona Nelson',0.15,False
Slaughter the Strong,Sorcery,None,Rivals of Ixalan,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Vargas',1.72,False
Snubhorn Sentry,Creature,Dinosaur,Rivals of Ixalan,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Aaron Miller',0.13,False
Sphinx's Decree,Sorcery,None,Rivals of Ixalan,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.11,False
Squire's Devotion,Enchantment,Aura,Rivals of Ixalan,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Winona Nelson',0.08,False
Sun Sentinel,Creature,Human Soldier,Rivals of Ixalan,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.04,False
Sun-Crested Pterodon,Creature,Dinosaur,Rivals of Ixalan,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.05,False
Temple Altisaur,Creature,Dinosaur,Rivals of Ixalan,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.52,False
Trapjaw Tyrant,Creature,Dinosaur,Rivals of Ixalan,Mythic Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',3.82,False
Zetalpa Primal Dawn,Creature,Elder Dinosaur,Rivals of Ixalan,Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rallis',1.17,True
Admiral's Order,Instant,None,Rivals of Ixalan,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.3,False
Aquatic Incursion,Enchantment,None,Rivals of Ixalan,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Rainville',0.13,False
Crafty Cutpurse,Creature,Human Pirate,Rivals of Ixalan,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Grzegorz Rutkowski',0.25,False
