names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angel of Grace,Creature,Angel,Ravnica Allegiance,Mythic Rare,5,White,Legal,Legal,Legal,Legal,Legal,False,b'Ryan Yee',0.79,False
Angelic Exaltation,Enchantment,None,Ravnica Allegiance,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,False,b'John Severin Brassell',0.13,False
Archway Angel,Creature,Angel,Ravnica Allegiance,Uncommon,6,White,Legal,Legal,Legal,Legal,Legal,False,b'Milivoj \xc4\x86eran',0.13,False
Arrester's Zeal,Instant,None,Ravnica Allegiance,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Izzy',0.06,False
Bring to Trial,Sorcery,None,Ravnica Allegiance,Common,3,White,Legal,Legal,Legal,Legal,Legal,False,b'Victor Adame Minguez',0.04,False
Civic Stalwart,Creature,Elephant Soldier,Ravnica Allegiance,Common,4,White,Legal,Legal,Legal,Legal,Legal,False,b'Gabor Szikszai',0.03,False
Concordia Pegasus,Creature,Pegasus,Ravnica Allegiance,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.06,False
Expose to Daylight,Instant,None,Ravnica Allegiance,Common,3,White,Legal,Legal,Legal,Legal,Legal,False,b'Daniel Ljunggren',0.03,False
Forbidding Spirit,Creature,Spirit Cleric,Ravnica Allegiance,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,False,b'Ryan Yee',0.08,False
Haazda Officer,Creature,Human Soldier,Ravnica Allegiance,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Aaron Miller',0.03,False
Hero of Precinct One,Creature,Human Warrior,Ravnica Allegiance,Rare,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Bram Sels',0.53,False
Impassioned Orator,Creature,Human Cleric,Ravnica Allegiance,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Mark Zug',0.13,False
Justiciar's Portal,Instant,None,Ravnica Allegiance,Common,2,White,Legal,Legal,Legal,Legal,Legal,False,b'Micah Epstein',0.07,False
Knight of Sorrows,Creature,Human Knight,Ravnica Allegiance,Common,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Zezhou Chen',0.05,False
Lumbering Battlement,Creature,Beast,Ravnica Allegiance,Rare,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Simon Dominic',0.22,False
Ministrant of Obligation,Creature,Human Cleric,Ravnica Allegiance,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,False,b'Bastien L. Deharme',0.16,False
Prowling Caracal,Creature,Cat,Ravnica Allegiance,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Jonathan Kuo',0.03,False
Rally to Battle,Instant,None,Ravnica Allegiance,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,False,b'Ben Wootten',0.05,False
Resolute Watchdog,Creature,Dog,Ravnica Allegiance,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,False,b'Milivoj \xc4\x86eran',0.12,False
Sentinel's Mark,Enchantment,Aura,Ravnica Allegiance,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,False,b'Zezhou Chen',0.11,False
Sky Tether,Enchantment,Aura,Ravnica Allegiance,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Zezhou Chen',0.13,False
Smothering Tithe,Enchantment,None,Ravnica Allegiance,Rare,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Mark Behm',14.07,False
Spirit of the Spires,Creature,Spirit,Ravnica Allegiance,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,False,b'Yeong-Hao Han',0.06,False
Summary Judgment,Instant,None,Ravnica Allegiance,Common,2,White,Legal,Legal,Legal,Legal,Legal,False,b'Deruchenko Alexander',0.06,False
Syndicate Messenger,Creature,Bird,Ravnica Allegiance,Common,4,White,Legal,Legal,Legal,Legal,Legal,False,b'Viktor Titov',0.02,False
Tenth District Veteran,Creature,Human Soldier,Ravnica Allegiance,Common,3,White,Legal,Legal,Legal,Legal,Legal,False,b'Volkan Ba\xc7\xb5a',0.04,False
Tithe Taker,Creature,Human Soldier,Ravnica Allegiance,Rare,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Aaron Miller',0.84,False
Twilight Panther,Creature,Cat Spirit,Ravnica Allegiance,Common,1,White,Legal,Legal,Legal,Legal,Legal,False,b'Uriah Voth',0.07,False
Unbreakable Formation,Instant,None,Ravnica Allegiance,Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Matt Stewart',2.58,False
Watchful Giant,Creature,Giant Soldier,Ravnica Allegiance,Common,6,White,Legal,Legal,Legal,Legal,Legal,False,b'Grzegorz Rutkowski',0.02,False
Arrester's Admonition,Instant,None,Ravnica Allegiance,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,False,b'Lucas Graciano',0.07,False
Benthic Biomancer,Creature,Merfolk Wizard Mutant,Ravnica Allegiance,Rare,1,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Daarken',0.49,False
Chillbringer,Creature,Elemental,Ravnica Allegiance,Common,5,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Eytan Zana',0.05,False
Clear the Mind,Sorcery,None,Ravnica Allegiance,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,True,b'David Palumbo',0.12,False
Code of Constraint,Instant,None,Ravnica Allegiance,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,False,b'Ekaterina Burmak',0.05,False
Coral Commando,Creature,Merfolk Warrior,Ravnica Allegiance,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,False,b'Alex Konstad',0.03,False
Essence Capture,Instant,None,Ravnica Allegiance,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,False,b'Mathias Kollros',0.26,False
Eyes Everywhere,Enchantment,None,Ravnica Allegiance,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,False,b'Nils Hamm',0.12,False
Faerie Duelist,Creature,Faerie Rogue,Ravnica Allegiance,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,False,b'Yongjae Choi',0.09,False
Gateway Sneak,Creature,Vedalken Rogue,Ravnica Allegiance,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,False,b'Matt Stewart',0.11,False
Humongulus,Creature,Homunculus,Ravnica Allegiance,Common,5,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Jesper Ejsing',0.06,False
Mass Manipulation,Sorcery,None,Ravnica Allegiance,Rare,6,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Anthony Palumbo',0.4,False
Mesmerizing Benthid,Creature,Octopus,Ravnica Allegiance,Mythic Rare,5,Blue,Legal,Legal,Legal,Legal,Legal,False,b'Kev Walker',0.54,False
Persistent Petitioners,Creature,Human Advisor,Ravnica Allegiance,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,False,b'Jason Rainville',1.9,False
Precognitive Perception,Instant,None,Ravnica Allegiance,Rare,5,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Chris Rallis',0.23,False
Prying Eyes,Instant,None,Ravnica Allegiance,Common,6,Blue,Legal,Legal,Legal,Legal,Legal,False,b'Magali Villeneuve',0.04,False
