names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
All Is Dust,Tribal Sorcery,Eldrazi,Rise of the Eldrazi,Mythic Rare,7,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',8.15,False
Artisan of Kozilek,Creature,Eldrazi,Rise of the Eldrazi,Uncommon,9,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Felix',0.5,False
Eldrazi Conscription,Tribal Enchantment,Eldrazi Aura,Rise of the Eldrazi,Rare,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Jaime Jones',10.7,False
Emrakul the Aeons Torn,Creature,Eldrazi,Rise of the Eldrazi,Mythic Rare,2,Colorless,Legal,Not Legal,Banned,Legal,Legal,True,b'Mark Tedin',21.89,True
Hand of Emrakul,Creature,Eldrazi,Rise of the Eldrazi,Common,9,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Chippy',0.28,False
Kozilek Butcher of Truth,Creature,Eldrazi,Rise of the Eldrazi,Mythic Rare,1,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Komarck',46.26,True
It That Betrays,Creature,Eldrazi,Rise of the Eldrazi,Rare,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Tomasz Jedruszek',14.6,False
Not of This World,Tribal Instant,Eldrazi,Rise of the Eldrazi,Uncommon,7,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',1.09,False
Pathrazer of Ulamog,Creature,Eldrazi,Rise of the Eldrazi,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Austin Hsu',1.72,False
Skittering Invasion,Tribal Sorcery,Eldrazi,Rise of the Eldrazi,Uncommon,7,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Deschamps',0.76,False
Spawnsire of Ulamog,Creature,Eldrazi,Rise of the Eldrazi,Rare,1,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',4.54,False
Ulamog the Infinite Gyre,Creature,Eldrazi,Rise of the Eldrazi,Mythic Rare,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',39.67,True
Ulamog's Crusher,Creature,Eldrazi,Rise of the Eldrazi,Common,8,Colorless,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',0.25,False
Affa Guard Hound,Creature,Dog,Rise of the Eldrazi,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Pancoast',0.07,False
Caravan Escort,Creature,Human Knight,Rise of the Eldrazi,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Goran Josic',0.1,False
Dawnglare Invoker,Creature,Kor Wizard,Rise of the Eldrazi,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.13,False
Deathless Angel,Creature,Angel,Rise of the Eldrazi,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johann Bodin',1.28,False
Demystify,Instant,None,Rise of the Eldrazi,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'V\xc3\xa9ronique Meignaud',0.09,False
Eland Umbra,Enchantment,Aura,Rise of the Eldrazi,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Howard Lyon',0.22,False
Emerge Unscathed,Instant,None,Rise of the Eldrazi,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.29,False
