names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angel of Serenity,Creature,Angel,Return to Ravnica,Mythic Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',1.41,False
Armory Guard,Creature,Giant Soldier,Return to Ravnica,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.05,False
Arrest,Enchantment,Aura,Return to Ravnica,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.13,False
Avenging Arrow,Instant,None,Return to Ravnica,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.07,False
Azorius Arrester,Creature,Human Soldier,Return to Ravnica,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.08,False
Azorius Justiciar,Creature,Human Wizard,Return to Ravnica,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.11,False
Bazaar Krovod,Creature,Beast,Return to Ravnica,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.06,False
Concordia Pegasus,Creature,Pegasus,Return to Ravnica,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Winona Nelson',0.03,False
Ethereal Armor,Enchantment,Aura,Return to Ravnica,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.64,False
Eyes in the Skies,Instant,None,Return to Ravnica,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.09,False
Fencing Ace,Creature,Human Soldier,Return to Ravnica,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'David Rapoza',0.1,False
Keening Apparition,Creature,Spirit,Return to Ravnica,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.1,False
Knightly Valor,Enchantment,Aura,Return to Ravnica,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.04,False
Martial Law,Enchantment,None,Return to Ravnica,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tyler Jacobson',0.2,False
Palisade Giant,Creature,Giant Soldier,Return to Ravnica,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.21,False
Phantom General,Creature,Spirit Soldier,Return to Ravnica,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.11,False
Precinct Captain,Creature,Human Soldier,Return to Ravnica,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',0.28,False
Rest in Peace,Enchantment,None,Return to Ravnica,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',3.99,False
Rootborn Defenses,Instant,None,Return to Ravnica,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.17,False
Security Blockade,Enchantment,Aura,Return to Ravnica,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.09,False
Selesnya Sentry,Creature,Elephant Soldier,Return to Ravnica,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wesley Burt',0.04,False
Seller of Songbirds,Creature,Human,Return to Ravnica,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.07,False
Soul Tithe,Enchantment,Aura,Return to Ravnica,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Kendall',0.12,False
Sphere of Safety,Enchantment,None,Return to Ravnica,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',3.4,False
Sunspire Griffin,Creature,Griffin,Return to Ravnica,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johannes Voss',0.06,False
Swift Justice,Instant,None,Return to Ravnica,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.15,False
Trained Caracal,Creature,Cat,Return to Ravnica,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.11,False
Trostani's Judgment,Instant,None,Return to Ravnica,Common,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.07,False
Aquus Steed,Creature,Beast,Return to Ravnica,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Warren Mahy',0.07,False
Blustersquall,Instant,None,Return to Ravnica,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Willian Murai',0.21,False
Cancel,Instant,None,Return to Ravnica,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.08,False
Chronic Flooding,Enchantment,Aura,Return to Ravnica,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Chou',0.19,False
