names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Apothecary Initiate,Creature,Kithkin Cleric,Shadowmoor,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.11,False
Armored Ascension,Enchantment,Aura,Shadowmoor,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',0.23,False
Ballynock Cohort,Creature,Kithkin Soldier,Shadowmoor,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Ejsing',0.07,False
Barrenton Medic,Creature,Kithkin Cleric,Shadowmoor,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Trevor Hairsine',0.07,False
Boon Reflection,Enchantment,None,Shadowmoor,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',9.09,False
Goldenglow Moth,Creature,Insect,Shadowmoor,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Howard Lyon',0.15,False
Greater Auramancy,Enchantment,None,Shadowmoor,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chuck Lukacs',33.24,False
Inquisitor's Snare,Instant,None,Shadowmoor,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Sutfin',0.09,False
Kithkin Rabble,Creature,Kithkin,Shadowmoor,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Omar Rayyan',0.12,False
Kithkin Shielddare,Creature,Kithkin Soldier,Shadowmoor,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.07,False
Last Breath,Instant,None,Shadowmoor,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas Denmark',0.13,False
Mass Calcify,Sorcery,None,Shadowmoor,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brandon Kitkouski',0.95,False
Mine Excavation,Sorcery,None,Shadowmoor,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chippy',0.15,False
