names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Always Watching,Enchantment,None,Shadows over Innistrad,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chase Stone',0.85,False
Angel of Deliverance,Creature,Angel,Shadows over Innistrad,Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Joseph Meehan',0.2,False
Angelic Purge,Sorcery,None,Shadows over Innistrad,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zezhou Chen',0.16,False
Apothecary Geist,Creature,Spirit,Shadows over Innistrad,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Franz Vohwinkel',0.03,False
Archangel Avacyn,Creature,Angel,Shadows over Innistrad,Mythic Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',6.26,True
Avacynian Missionaries,Creature,Human Cleric,Shadows over Innistrad,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',0.09,False
Bound by Moonsilver,Enchantment,Aura,Shadows over Innistrad,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Joseph Meehan',0.08,False
Bygone Bishop,Creature,Spirit Cleric,Shadows over Innistrad,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason A. Engle',0.4,False
Cathar's Companion,Creature,Dog,Shadows over Innistrad,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.04,False
Chaplain's Blessing,Sorcery,None,Shadows over Innistrad,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Stanko',0.16,False
Dauntless Cathar,Creature,Human Soldier,Shadows over Innistrad,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zack Stella',0.05,False
Declaration in Stone,Sorcery,None,Shadows over Innistrad,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tyler Jacobson',1.08,False
Descend upon the Sinful,Sorcery,None,Shadows over Innistrad,Mythic Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tyler Jacobson',0.67,False
Devilthorn Fox,Creature,Fox,Shadows over Innistrad,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Filip Burburan',0.04,False
Drogskol Cavalry,Creature,Spirit Knight,Shadows over Innistrad,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.19,False
Eerie Interlude,Instant,None,Shadows over Innistrad,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',2.08,False
Emissary of the Sleepless,Creature,Spirit,Shadows over Innistrad,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.05,False
Ethereal Guidance,Sorcery,None,Shadows over Innistrad,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ben Maier',0.06,False
Expose Evil,Instant,None,Shadows over Innistrad,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jama Jurabaev',0.08,False
Gryff's Boon,Enchantment,Aura,Shadows over Innistrad,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.44,False
Hanweir Militia Captain,Creature,Human Soldier,Shadows over Innistrad,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.61,False
Hope Against Hope,Enchantment,Aura,Shadows over Innistrad,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Seguin',0.17,False
Humble the Brute,Instant,None,Shadows over Innistrad,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.1,False
Inquisitor's Ox,Creature,Ox,Shadows over Innistrad,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Vincent Proce',0.01,False
Inspiring Captain,Creature,Human Knight,Shadows over Innistrad,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Ben Maier',0.04,False
Militant Inquisitor,Creature,Human Cleric,Shadows over Innistrad,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.05,False
Moorland Drifter,Creature,Spirit,Shadows over Innistrad,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Yee',0.05,False
Nahiri's Machinations,Enchantment,None,Shadows over Innistrad,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lake Hurwitz',0.16,False
Nearheath Chaplain,Creature,Human Cleric,Shadows over Innistrad,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.05,False
Not Forgotten,Sorcery,None,Shadows over Innistrad,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Darek Zabrocki',0.14,False
Odric Lunarch Marshal,Creature,Human Soldier,Shadows over Innistrad,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chase Stone',1.32,True
Open the Armory,Sorcery,None,Shadows over Innistrad,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',1.54,False
Paranoid Parish-Blade,Creature,Human Soldier,Shadows over Innistrad,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.04,False
Pious Evangel,Creature,Human Cleric,Shadows over Innistrad,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.18,False
Puncturing Light,Instant,None,Shadows over Innistrad,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.05,False
Reaper of Flight Moonsilver,Creature,Angel,Shadows over Innistrad,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.08,False
Silverstrike,Instant,None,Shadows over Innistrad,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lius Lasahido',0.07,False
Spectral Shepherd,Creature,Spirit,Shadows over Innistrad,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johann Bodin',0.1,False
Stern Constable,Creature,Human Soldier,Shadows over Innistrad,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.04,False
Strength of Arms,Instant,None,Shadows over Innistrad,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Stanko',0.08,False
Survive the Night,Instant,None,Shadows over Innistrad,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.07,False
Tenacity,Instant,None,Shadows over Innistrad,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.08,False
Thalia's Lieutenant,Creature,Human Soldier,Shadows over Innistrad,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Johannes Voss',2.01,False
Thraben Inspector,Creature,Human Soldier,Shadows over Innistrad,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.52,False
Topplegeist,Creature,Spirit,Shadows over Innistrad,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Seb McKinnon',0.14,False
Town Gossipmonger,Creature,Human,Shadows over Innistrad,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Stanko',0.07,False
Unruly Mob,Creature,Human,Shadows over Innistrad,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Pancoast',0.09,False
