names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Aether Shockwave,Instant,None,Saviors of Kamigawa,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Tappin',0.25,False
Araba Mothrider,Creature,Human Samurai,Saviors of Kamigawa,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.2,False
Celestial Kirin,Creature,Kirin Spirit,Saviors of Kamigawa,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',1.89,True
Charge Across the Araba,Instant,Arcane,Saviors of Kamigawa,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dany Orizio',0.21,False
Cowed by Wisdom,Enchantment,Aura,Saviors of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.12,False
Curtain of Light,Instant,None,Saviors of Kamigawa,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Chippy',0.11,False
Descendant of Kiyomaro,Creature,Human Soldier,Saviors of Kamigawa,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',0.09,False
Eiganjo Free-Riders,Creature,Human Soldier,Saviors of Kamigawa,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.27,False
Enduring Ideal,Sorcery,None,Saviors of Kamigawa,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',5.84,False
Ghost-Lit Redeemer,Creature,Spirit,Saviors of Kamigawa,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Shishizaru',0.2,False
Hail of Arrows,Instant,None,Saviors of Kamigawa,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anthony S. Waters',0.11,False
Hand of Honor,Creature,Human Samurai,Saviors of Kamigawa,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.61,False
Inner-Chamber Guard,Creature,Human Samurai,Saviors of Kamigawa,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Sn\xc3\xb5ddy',0.28,False
Kataki War's Wage,Creature,Spirit,Saviors of Kamigawa,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Thompson',2.2,True
Kitsune Bonesetter,Creature,Fox Cleric,Saviors of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.08,False
Kitsune Dawnblade,Creature,Fox Samurai,Saviors of Kamigawa,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.13,False
Kitsune Loreweaver,Creature,Fox Cleric,Saviors of Kamigawa,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Polak',0.08,False
Kiyomaro First to Stand,Creature,Spirit,Saviors of Kamigawa,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.34,True
Michiko Konda Truth Seeker,Creature,Human Advisor,Saviors of Kamigawa,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',13.95,True
Moonwing Moth,Creature,Insect,Saviors of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Franz Vohwinkel',0.09,False
Nikko-Onna,Creature,Spirit,Saviors of Kamigawa,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Shishizaru',0.39,False
Plow Through Reito,Instant,Arcane,Saviors of Kamigawa,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.14,False
Presence of the Wise,Sorcery,None,Saviors of Kamigawa,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Moeller',0.1,False
Promise of Bunrei,Enchantment,None,Saviors of Kamigawa,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Tappin',0.65,False
Pure Intentions,Instant,Arcane,Saviors of Kamigawa,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.21,False
Reverence,Enchantment,None,Saviors of Kamigawa,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ittoku',1.68,False
Rune-Tail Kitsune Ascendant,Creature,Fox Monk,Saviors of Kamigawa,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',5.93,True
Shinen of Stars' Light,Creature,Spirit,Saviors of Kamigawa,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeremy Jarvis',0.09,False
Spiritual Visit,Instant,Arcane,Saviors of Kamigawa,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.15,False
Torii Watchward,Creature,Spirit,Saviors of Kamigawa,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Miracola',0.08,False
Cloudhoof Kirin,Creature,Kirin Spirit,Saviors of Kamigawa,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.44,True
Cut the Earthly Bond,Instant,Arcane,Saviors of Kamigawa,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Miracola',0.08,False
Descendant of Soramaro,Creature,Human Wizard,Saviors of Kamigawa,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Despain',0.18,False
Dreamcatcher,Creature,Spirit,Saviors of Kamigawa,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.09,False
Erayo Soratami Ascendant,Creature,Moonfolk Monk,Saviors of Kamigawa,Rare,2,Blue,Legal,Not Legal,Banned,Legal,Legal,True,b'Matt Cavotta',5.96,True
Eternal Dominion,Sorcery,None,Saviors of Kamigawa,Rare,10,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Shishizaru',2.44,False
