names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Abuna Acolyte,Creature,Cat Cleric,Scars of Mirrodin,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.07,False
Arrest,Enchantment,Aura,Scars of Mirrodin,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.08,False
Auriok Edgewright,Creature,Human Soldier,Scars of Mirrodin,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Bierek',0.11,False
Auriok Sunchaser,Creature,Human Soldier,Scars of Mirrodin,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.15,False
Dispense Justice,Instant,None,Scars of Mirrodin,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Austin Hsu',0.11,False
Elspeth Tirel,Planeswalker,Elspeth,Scars of Mirrodin,Mythic Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Komarck',8.4,True
Fulgent Distraction,Instant,None,Scars of Mirrodin,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Nic Klein',0.07,False
Ghalma's Warden,Creature,Elephant Soldier,Scars of Mirrodin,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Bierek',0.06,False
Glimmerpoint Stag,Creature,Elk,Scars of Mirrodin,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Pancoast',0.14,False
Glint Hawk,Creature,Bird,Scars of Mirrodin,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Allsop',0.24,False
Indomitable Archangel,Creature,Angel,Scars of Mirrodin,Mythic Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Allen Williams',0.96,False
Kemba Kha Regent,Creature,Cat Cleric,Scars of Mirrodin,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',0.3,True
Kemba's Skyguard,Creature,Cat Knight,Scars of Mirrodin,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Whit Brachna',0.13,False
Leonin Arbiter,Creature,Cat Cleric,Scars of Mirrodin,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Shelly Wan',1.68,False
Loxodon Wayfarer,Creature,Elephant Monk,Scars of Mirrodin,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.08,False
Myrsmith,Creature,Human Artificer,Scars of Mirrodin,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Deschamps',0.12,False
Razor Hippogriff,Creature,Hippogriff,Scars of Mirrodin,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Rapoza',0.09,False
Revoke Existence,Sorcery,None,Scars of Mirrodin,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Allen Williams',0.11,False
Salvage Scout,Creature,Human Scout,Scars of Mirrodin,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Randis Albion',0.13,False
Seize the Initiative,Instant,None,Scars of Mirrodin,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.06,False
Soul Parry,Instant,None,Scars of Mirrodin,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.08,False
Sunblast Angel,Creature,Angel,Scars of Mirrodin,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',0.69,False
Sunspear Shikari,Creature,Cat Soldier,Scars of Mirrodin,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Allen Williams',0.12,False
Tempered Steel,Enchantment,None,Scars of Mirrodin,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Wayne Reynolds',1.24,False
True Conviction,Enchantment,None,Scars of Mirrodin,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',1.95,False
Vigil for the Lost,Enchantment,None,Scars of Mirrodin,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.1,False
Whitesun's Passage,Instant,None,Scars of Mirrodin,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',0.08,False
Argent Sphinx,Creature,Sphinx,Scars of Mirrodin,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.19,False
Bonds of Quicksilver,Enchantment,Aura,Scars of Mirrodin,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.06,False
Darkslick Drake,Creature,Drake,Scars of Mirrodin,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Chippy',0.09,False
Disperse,Instant,None,Scars of Mirrodin,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Adrian Smith',0.07,False
Dissipation Field,Enchantment,None,Scars of Mirrodin,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Cavotta',2.11,False
Grand Architect,Creature,Vedalken Artificer,Scars of Mirrodin,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',3.21,False
Halt Order,Instant,None,Scars of Mirrodin,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',0.06,False
Inexorable Tide,Enchantment,None,Scars of Mirrodin,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dave Kendall',3.63,False
Lumengrid Drake,Creature,Drake,Scars of Mirrodin,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Johann Bodin',0.1,False
Neurok Invisimancer,Creature,Human Wizard,Scars of Mirrodin,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',0.14,False
Plated Seastrider,Creature,Beast,Scars of Mirrodin,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',0.09,False
Quicksilver Gargantuan,Creature,Shapeshifter,Scars of Mirrodin,Mythic Rare,7,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.76,False
Riddlesmith,Creature,Human Artificer,Scars of Mirrodin,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Deschamps',0.23,False
Scrapdiver Serpent,Creature,Serpent,Scars of Mirrodin,Common,7,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Adrian Smith',0.11,False
Screeching Silcaw,Creature,Bird,Scars of Mirrodin,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Bierek',0.08,False
Shape Anew,Sorcery,None,Scars of Mirrodin,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',0.22,False
Sky-Eel School,Creature,Fish,Scars of Mirrodin,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Ljunggren',0.1,False
Steady Progress,Instant,None,Scars of Mirrodin,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Efrem Palacios',0.23,False
Stoic Rebuttal,Instant,None,Scars of Mirrodin,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.14,False
Thrummingbird,Creature,Bird Horror,Scars of Mirrodin,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Efrem Palacios',0.3,False
Trinket Mage,Creature,Human Wizard,Scars of Mirrodin,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Chou',0.28,False
Turn Aside,Instant,None,Scars of Mirrodin,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Shelly Wan',0.2,False
Twisted Image,Instant,None,Scars of Mirrodin,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Izzy',0.15,False
Vault Skyward,Instant,None,Scars of Mirrodin,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.04,False
Vedalken Certarch,Creature,Vedalken Wizard,Scars of Mirrodin,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.09,False
Volition Reins,Enchantment,Aura,Scars of Mirrodin,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',0.1,False
