names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Bandage,Instant,None,Stronghold,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.23,False
Calming Licid,Creature,Licid,Stronghold,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'D. Alexander Gregory',0.12,False
Change of Heart,Instant,None,Stronghold,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.11,False
Contemplation,Enchantment,None,Stronghold,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brom',0.23,False
Conviction,Enchantment,Aura,Stronghold,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.13,False
Hidden Retreat,Enchantment,None,Stronghold,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.29,False
Honor Guard,Creature,Human Soldier,Stronghold,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Joel Biske',0.09,False
Lancers en-Kor,Creature,Kor Soldier,Stronghold,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.13,False
Nomads en-Kor,Creature,Kor Nomad Soldier,Stronghold,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Val Mayerik',0.24,False
Pursuit of Knowledge,Enchantment,None,Stronghold,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'DiTerlizzi',0.58,False
Rolling Stones,Enchantment,None,Stronghold,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Matson',1.11,False
Sacred Ground,Enchantment,None,Stronghold,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.42,False
Samite Blessing,Enchantment,Aura,Stronghold,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.13,False
Scapegoat,Instant,None,Stronghold,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.36,False
Shaman en-Kor,Creature,Kor Cleric Shaman,Stronghold,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Miracola',0.77,False
Skyshroud Falcon,Creature,Bird,Stronghold,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Raabe',0.09,False
Smite,Instant,None,Stronghold,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.09,False
Soltari Champion,Creature,Soltari Soldier,Stronghold,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',1.17,False
Spirit en-Kor,Creature,Kor Spirit,Stronghold,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'John Matson',0.17,False
Temper,Instant,None,Stronghold,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matthew D. Wilson',0.17,False
Venerable Monk,Creature,Human Monk Cleric,Stronghold,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.1,False
Wall of Essence,Creature,Wall,Stronghold,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.36,False
Warrior en-Kor,Creature,Kor Warrior Knight,Stronghold,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Daniele',0.16,False
Warrior Angel,Creature,Angel Warrior,Stronghold,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brom',0.3,False
Youthful Knight,Creature,Human Knight,Stronghold,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.15,False
Cloud Spirit,Creature,Spirit,Stronghold,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.1,False
Contempt,Enchantment,Aura,Stronghold,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Val Mayerik',0.11,False
Dream Halls,Enchantment,None,Stronghold,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',17.64,False
Dream Prowler,Creature,Illusion,Stronghold,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Kane Ferguson',0.14,False
Evacuation,Instant,None,Stronghold,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Rob Alexander',3.63,False
Gliding Licid,Creature,Licid,Stronghold,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.11,False
Hammerhead Shark,Creature,Shark,Stronghold,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Daniele',0.12,False
Hesitation,Enchantment,None,Stronghold,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.3,False
Intruder Alarm,Enchantment,None,Stronghold,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Donato Giancola',9.99,False
Leap,Instant,None,Stronghold,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.28,False
Mana Leak,Instant,None,Stronghold,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',0.36,False
Mask of the Mimic,Instant,None,Stronghold,Uncommon,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.27,False
Mind Games,Instant,None,Stronghold,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',0.15,False
Ransack,Sorcery,None,Stronghold,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.1,False
Rebound,Instant,None,Stronghold,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Doug Chaffee',0.15,False
Reins of Power,Instant,None,Stronghold,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Colin MacNeil',1.27,False
Sift,Sorcery,None,Stronghold,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.1,False
Silver Wyvern,Creature,Drake,Stronghold,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Colin MacNeil',0.78,False
Spindrift Drake,Creature,Drake,Stronghold,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony S. Waters',0.08,False
Thalakos Deceiver,Creature,Thalakos Wizard,Stronghold,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',2.17,False
Tidal Surge,Sorcery,None,Stronghold,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Doug Chaffee',0.07,False
Tidal Warrior,Creature,Merfolk Warrior,Stronghold,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.14,False
Volrath's Shapeshifter,Creature,Shapeshifter,Stronghold,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',1.68,False
Walking Dream,Creature,Illusion,Stronghold,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Richard Kane Ferguson',0.18,False
Wall of Tears,Creature,Wall,Stronghold,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.96,False
Bottomless Pit,Enchantment,None,Stronghold,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',4.65,False
Brush with Death,Sorcery,None,Stronghold,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Stephen Daniele',0.08,False
Cannibalize,Sorcery,None,Stronghold,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Robert Bliss',0.12,False
Corrupting Licid,Creature,Licid,Stronghold,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Thomas M. Baxa',0.11,False
Crovax the Cursed,Creature,Vampire Noble,Stronghold,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.74,True
Dauthi Trapper,Creature,Dauthi Minion,Stronghold,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Thomas M. Baxa',0.27,False
Death Stroke,Sorcery,None,Stronghold,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Colin MacNeil',0.1,False
Dungeon Shade,Creature,Shade Spirit,Stronghold,Common,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Alexander Behnke',0.1,False
Foul Imp,Creature,Imp,Stronghold,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',0.05,False
Grave Pact,Enchantment,None,Stronghold,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Kirschner',15.77,False
Lab Rats,Sorcery,None,Stronghold,Common,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'DiTerlizzi',0.21,False
Megrim,Enchantment,None,Stronghold,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Donato Giancola',0.45,False
Mind Peel,Sorcery,None,Stronghold,Uncommon,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Adam Rex',0.13,False
Mindwarper,Creature,Spirit,Stronghold,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.2,False
Morgue Thrull,Creature,Thrull,Stronghold,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Robert Bliss',0.11,False
Mortuary,Enchantment,None,Stronghold,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Robert Bliss',1.12,False
Rabid Rats,Creature,Rat,Stronghold,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matthew D. Wilson',0.14,False
Revenant,Creature,Spirit,Stronghold,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.24,False
Serpent Warrior,Creature,Snake Warrior,Stronghold,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.07,False
Skeleton Scavengers,Creature,Skeleton,Stronghold,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.23,False
