names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Animate Wall,Enchantment,Aura,Summer Magic / Edgar,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.19,False
Armageddon,Sorcery,None,Summer Magic / Edgar,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',0.19,False
Balance,Sorcery,None,Summer Magic / Edgar,Rare,2,White,Not Legal,Not Legal,Banned,Restrict.,Banned,True,b'Mark Poole',0.19,False
Benalish Hero,Creature,Human Soldier,Summer Magic / Edgar,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.19,False
Black Ward,Enchantment,Aura,Summer Magic / Edgar,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.19,False
Blessing,Enchantment,Aura,Summer Magic / Edgar,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Julie Baroh',0.02,False
Blue Ward,Enchantment,Aura,Summer Magic / Edgar,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',195.0,False
Castle,Enchantment,None,Summer Magic / Edgar,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',195.0,False
Circle of Protection: Black,Enchantment,None,Summer Magic / Edgar,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',195.0,False
Circle of Protection: Blue,Enchantment,None,Summer Magic / Edgar,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',130.0,False
Circle of Protection: Green,Enchantment,None,Summer Magic / Edgar,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sandra Everingham',130.0,False
Circle of Protection: Red,Enchantment,None,Summer Magic / Edgar,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',130.0,False
Circle of Protection: White,Enchantment,None,Summer Magic / Edgar,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',130.0,False
Conversion,Enchantment,None,Summer Magic / Edgar,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',130.0,False
Crusade,Enchantment,None,Summer Magic / Edgar,Rare,2,White,Not Legal,Not Legal,Banned,Banned,Banned,True,b'Mark Poole',130.0,False
Death Ward,Instant,None,Summer Magic / Edgar,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',0.75,False
Disenchant,Instant,None,Summer Magic / Edgar,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Amy Weber',350.0,False
Eye for an Eye,Instant,None,Summer Magic / Edgar,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',350.0,False
Farmstead,Enchantment,Aura,Summer Magic / Edgar,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',0.25,False
Green Ward,Enchantment,Aura,Summer Magic / Edgar,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.25,False
Guardian Angel,Instant,None,Summer Magic / Edgar,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',0.02,False
Healing Salve,Instant,None,Summer Magic / Edgar,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.02,False
Holy Armor,Enchantment,Aura,Summer Magic / Edgar,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',200.0,False
Holy Strength,Enchantment,Aura,Summer Magic / Edgar,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anson Maddocks',0.02,False
Island Sanctuary,Enchantment,None,Summer Magic / Edgar,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',0.02,False
Karma,Enchantment,None,Summer Magic / Edgar,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Thomas',0.02,False
Lance,Enchantment,Aura,Summer Magic / Edgar,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rob Alexander',0.02,False
Mesa Pegasus,Creature,Pegasus,Summer Magic / Edgar,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',209.17,False
Northern Paladin,Creature,Human Knight,Summer Magic / Edgar,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',209.17,False
Pearled Unicorn,Creature,Unicorn,Summer Magic / Edgar,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Cornelius Brudi',209.17,False
Personal Incarnation,Creature,Avatar Incarnation,Summer Magic / Edgar,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Brockschmidt',209.17,False
Purelace,Instant,None,Summer Magic / Edgar,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Sandra Everingham',209.17,False
Red Ward,Enchantment,Aura,Summer Magic / Edgar,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',209.17,False
