names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Alseid of Life's Bounty,Enchantment Creature,Nymph,Theros Beyond Death,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.38,False
Archon of Falling Stars,Creature,Archon,Theros Beyond Death,Uncommon,6,White,Legal,Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',0.04,False
Archon of Sun's Grace,Creature,Archon,Theros Beyond Death,Rare,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.84,False
Banishing Light,Enchantment,None,Theros Beyond Death,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Willian Murai',0.18,False
The Birth of Meletis,Enchantment,Saga,Theros Beyond Death,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Tyler Jacobson',0.37,False
Captivating Unicorn,Creature,Unicorn,Theros Beyond Death,Common,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Emrah Elmasli',0.03,False
Commanding Presence,Enchantment,Aura,Theros Beyond Death,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Milivoj \xc4\x86eran',0.08,False
Dawn Evangel,Enchantment Creature,Human Cleric,Theros Beyond Death,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Livia Prima',0.05,False
Daxos Blessed by the Sun,Enchantment Creature,Demigod,Theros Beyond Death,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Lius Lasahido',0.28,True
Daybreak Chimera,Creature,Chimera,Theros Beyond Death,Common,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.04,False
Dreadful Apathy,Enchantment,Aura,Theros Beyond Death,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Mark Zug',0.04,False
Eidolon of Obstruction,Enchantment Creature,Spirit,Theros Beyond Death,Rare,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Jason Rainville',0.17,False
Elspeth Conquers Death,Enchantment,Saga,Theros Beyond Death,Rare,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Ryan Yee',1.9,False
Elspeth Sun's Nemesis,Planeswalker,Elspeth,Theros Beyond Death,Mythic Rare,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Livia Prima',2.34,True
Favored of Iroas,Creature,Human Soldier,Theros Beyond Death,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,True,b'John Severin Brassell',0.05,False
Flicker of Fate,Instant,None,Theros Beyond Death,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Tomasz Jedruszek',0.08,False
Glory Bearers,Enchantment Creature,Human Cleric,Theros Beyond Death,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Tyler Walpole',0.03,False
Heliod Sun-Crowned,Enchantment Creature,God,Theros Beyond Death,Mythic Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Lius Lasahido',11.42,True
Heliod's Intervention,Instant,None,Theros Beyond Death,Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Daarken',1.73,False
Heliod's Pilgrim,Creature,Human Cleric,Theros Beyond Death,Common,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Micah Epstein',0.09,False
Heliod's Punishment,Enchantment,Aura,Theros Beyond Death,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Aleksi Briclot',0.08,False
Hero of the Pride,Creature,Cat Soldier,Theros Beyond Death,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Wisnu Tan',0.05,False
Hero of the Winds,Creature,Human Soldier,Theros Beyond Death,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Greg Staples',0.03,False
Idyllic Tutor,Sorcery,None,Theros Beyond Death,Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Jaime Jones',3.93,False
Indomitable Will,Enchantment,Aura,Theros Beyond Death,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Micah Epstein',0.03,False
Karametra's Blessing,Instant,None,Theros Beyond Death,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Wisnu Tan',0.13,False
Lagonna-Band Storyteller,Creature,Centaur Advisor,Theros Beyond Death,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Chris Seaman',0.04,False
