names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Battlewise Valor,Instant,None,Theros,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Zack Stella',0.06,False
Cavalry Pegasus,Creature,Pegasus,Theros,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.12,False
Celestial Archon,Enchantment Creature,Archon,Theros,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.14,False
Chained to the Rocks,Enchantment,Aura,Theros,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Aaron Miller',0.46,False
Chosen by Heliod,Enchantment,Aura,Theros,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Zack Stella',0.06,False
Dauntless Onslaught,Instant,None,Theros,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Peter Mohrbacher',0.06,False
Decorated Griffin,Creature,Griffin,Theros,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Phill Simmer',0.04,False
Divine Verdict,Instant,None,Theros,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Raymond Swanland',0.03,False
Elspeth Sun's Champion,Planeswalker,Elspeth,Theros,Mythic Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Deschamps',12.15,True
Ephara's Warden,Creature,Human Cleric,Theros,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Zack Stella',0.05,False
Evangel of Heliod,Creature,Human Cleric,Theros,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Nils Hamm',0.12,False
Fabled Hero,Creature,Human Soldier,Theros,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Aaron Miller',0.32,False
Favored Hoplite,Creature,Human Soldier,Theros,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Winona Nelson',0.55,False
Gift of Immortality,Enchantment,Aura,Theros,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Stewart',2.0,False
Glare of Heresy,Sorcery,None,Theros,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Raymond Swanland',0.13,False
Gods Willing,Instant,None,Theros,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Mark Winters',0.16,False
Heliod God of the Sun,Enchantment Creature,God,Theros,Mythic Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jaime Jones',4.29,True
Heliod's Emissary,Enchantment Creature,Elk,Theros,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Sam Burley',0.08,False
Hopeful Eidolon,Enchantment Creature,Spirit,Theros,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Min Yum',0.11,False
Hundred-Handed One,Creature,Giant,Theros,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brad Rigney',0.18,False
Lagonna-Band Elder,Creature,Centaur Advisor,Theros,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Min Yum',0.02,False
Last Breath,Instant,None,Theros,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Nils Hamm',0.09,False
Leonin Snarecaster,Creature,Cat Soldier,Theros,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.1,False
Observant Alseid,Enchantment Creature,Nymph,Theros,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Todd Lockwood',0.09,False
Ordeal of Heliod,Enchantment,Aura,Theros,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lucas Graciano',0.16,False
Phalanx Leader,Creature,Human Soldier,Theros,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.2,False
Ray of Dissolution,Instant,None,Theros,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',0.1,False
Scholar of Athreos,Creature,Human Cleric,Theros,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Cynthia Sheppard',0.1,False
Setessan Battle Priest,Creature,Human Cleric,Theros,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Wesley Burt',0.08,False
Setessan Griffin,Creature,Griffin,Theros,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.02,False
Silent Artisan,Creature,Giant,Theros,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony Palumbo',0.07,False
Soldier of the Pantheon,Creature,Human Soldier,Theros,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Deschamps',0.4,False
Spear of Heliod,Enchantment Artifact,None,Theros,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Yeong-Hao Han',1.52,True
Traveling Philosopher,Creature,Human Advisor,Theros,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'James Ryman',0.02,False
Vanquish the Foul,Sorcery,None,Theros,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Deschamps',0.06,False
Wingsteed Rider,Creature,Human Knight,Theros,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Cynthia Sheppard',0.07,False
Yoked Ox,Creature,Ox,Theros,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Ryan Yee',0.1,False
Annul,Instant,None,Theros,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Christine Choi',0.14,False
Aqueous Form,Enchantment,Aura,Theros,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Slawomir Maniak',0.32,False
Artisan of Forms,Creature,Human Wizard,Theros,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Min Yum',0.16,False
Benthic Giant,Creature,Giant,Theros,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jaime Jones',0.05,False
Bident of Thassa,Enchantment Artifact,None,Theros,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Yeong-Hao Han',1.41,True
Breaching Hippocamp,Creature,Horse Fish,Theros,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Burdett',0.14,False
Coastline Chimera,Creature,Chimera,Theros,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.03,False
Crackling Triton,Creature,Merfolk Wizard,Theros,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.02,False
Curse of the Swine,Sorcery,None,Theros,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'James Ryman',1.92,False
Dissolve,Instant,None,Theros,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Wesley Burt',0.27,False
Fate Foretold,Enchantment,Aura,Theros,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Scott',0.07,False
Gainsay,Instant,None,Theros,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Clint Cearley',0.08,False
Griptide,Instant,None,Theros,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Paquette',0.03,False
Horizon Scholar,Creature,Sphinx,Theros,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',0.07,False
Lost in a Labyrinth,Instant,None,Theros,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Winona Nelson',0.03,False
Master of Waves,Creature,Merfolk Wizard,Theros,Mythic Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Karl Kopinski',3.13,False
Meletis Charlatan,Creature,Human Wizard,Theros,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Jason A. Engle',0.15,False
Mnemonic Wall,Creature,Wall,Theros,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Trevor Claxton',0.1,False
Nimbus Naiad,Enchantment Creature,Nymph,Theros,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'David Palumbo',0.08,False
Omenspeaker,Creature,Human Wizard,Theros,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dallas Williams',0.05,False
Ordeal of Thassa,Enchantment,Aura,Theros,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',0.1,False
Prescient Chimera,Creature,Chimera,Theros,Common,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.06,False
Prognostic Sphinx,Creature,Sphinx,Theros,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Prescott',0.16,False
Sea God's Revenge,Sorcery,None,Theros,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Velhagen',0.08,False
Sealock Monster,Creature,Octopus,Theros,Uncommon,5,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Paquette',0.09,False
Shipbreaker Kraken,Creature,Kraken,Theros,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jack Wang',0.23,False
Stymied Hopes,Instant,None,Theros,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Peter Mohrbacher',0.06,False
Swan Song,Instant,None,Theros,Rare,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Peter Mohrbacher',8.09,False
Thassa God of the Sea,Enchantment Creature,God,Theros,Mythic Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jason Chan',13.56,True
Thassa's Bounty,Sorcery,None,Theros,Common,6,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ryan Yee',0.09,False
Thassa's Emissary,Enchantment Creature,Crab,Theros,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Sam Burley',0.11,False
Triton Fortune Hunter,Creature,Merfolk Soldier,Theros,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Clint Cearley',0.11,False
Triton Shorethief,Creature,Merfolk Rogue,Theros,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Howard Lyon',0.02,False
Triton Tactics,Instant,None,Theros,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jack Wang',0.07,False
Vaporkin,Creature,Elemental,Theros,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Seb McKinnon',0.06,False
Voyage's End,Instant,None,Theros,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.06,False
Wavecrash Triton,Creature,Merfolk Wizard,Theros,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Ryan Barger',0.05,False
Abhorrent Overlord,Creature,Demon,Theros,Rare,7,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.41,False
Agent of the Fates,Creature,Human Assassin,Theros,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Matt Stewart',0.27,False
Asphodel Wanderer,Creature,Skeleton Soldier,Theros,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott Chou',0.06,False
Baleful Eidolon,Enchantment Creature,Spirit,Theros,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Min Yum',0.1,False
Blood-Toll Harpy,Creature,Harpy,Theros,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.06,False
Boon of Erebos,Instant,None,Theros,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'James Ryman',0.04,False
Cavern Lampad,Enchantment Creature,Nymph,Theros,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Volkan Ba\xc7\xb5a',0.08,False
Cutthroat Maneuver,Instant,None,Theros,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Brad Rigney',0.04,False
Dark Betrayal,Instant,None,Theros,Uncommon,1,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Nils Hamm',0.09,False
Disciple of Phenax,Creature,Human Cleric,Theros,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'John Severin Brassell',0.07,False
Erebos God of the Dead,Enchantment Creature,God,Theros,Mythic Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Peter Mohrbacher',10.63,True
Erebos's Emissary,Enchantment Creature,Snake,Theros,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Sam Burley',0.06,False
Felhide Minotaur,Creature,Minotaur,Theros,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.05,False
Fleshmad Steed,Creature,Horse,Theros,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Robbie Trevino',0.04,False
Gray Merchant of Asphodel,Creature,Zombie,Theros,Common,5,Black,Legal,Legal,Legal,Legal,Legal,True,b'Robbie Trevino',0.34,False
Hero's Downfall,Instant,None,Theros,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Pancoast',4.27,False
Hythonia the Cruel,Creature,Gorgon,Theros,Mythic Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,False,b'Chris Rahn',0.43,True
