names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Advance Scout,Creature,Human Soldier Scout,Tempest,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.09,False
Angelic Protector,Creature,Angel,Tempest,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'DiTerlizzi',0.24,False
Anoint,Instant,None,Tempest,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Eric David Anderson',0.07,False
Armor Sliver,Creature,Sliver,Tempest,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Kirschner',0.27,False
Armored Pegasus,Creature,Pegasus,Tempest,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Una Fricker',0.11,False
Auratog,Creature,Atog,Tempest,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Miracola',0.51,False
Avenging Angel,Creature,Angel,Tempest,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',0.62,False
Circle of Protection: Black,Enchantment,None,Tempest,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Harold McNeill',0.14,False
Circle of Protection: Blue,Enchantment,None,Tempest,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Harold McNeill',0.17,False
Circle of Protection: Green,Enchantment,None,Tempest,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Harold McNeill',0.16,False
Circle of Protection: Red,Enchantment,None,Tempest,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Harold McNeill',0.21,False
Circle of Protection: Shadow,Enchantment,None,Tempest,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Harold McNeill',0.06,False
Circle of Protection: White,Enchantment,None,Tempest,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Harold McNeill',0.2,False
Clergy en-Vec,Creature,Human Cleric,Tempest,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.12,False
Cloudchaser Eagle,Creature,Bird,Tempest,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Una Fricker',0.1,False
Disenchant,Instant,None,Tempest,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Allen Williams',0.14,False
Elite Javelineer,Creature,Human Soldier,Tempest,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',0.07,False
Field of Souls,Enchantment,None,Tempest,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Kane Ferguson',0.45,False
Flickering Ward,Enchantment,Aura,Tempest,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Simanson',2.24,False
Gallantry,Instant,None,Tempest,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.12,False
Gerrard's Battle Cry,Enchantment,None,Tempest,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Val Mayerik',0.39,False
Hanna's Custody,Enchantment,None,Tempest,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'DiTerlizzi',0.88,False
Hero's Resolve,Enchantment,Aura,Tempest,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.11,False
Humility,Enchantment,None,Tempest,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Phil Foglio',20.68,False
Invulnerability,Instant,None,Tempest,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.17,False
Knight of Dawn,Creature,Human Knight,Tempest,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.21,False
Light of Day,Enchantment,None,Tempest,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',0.34,False
Marble Titan,Creature,Giant,Tempest,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brom',2.59,False
Master Decoy,Creature,Human Soldier,Tempest,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Phil Foglio',0.07,False
Mounted Archers,Creature,Human Soldier Archer,Tempest,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.08,False
Oracle en-Vec,Creature,Human Wizard,Tempest,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Frazier',0.41,False
Orim's Prayer,Enchantment,None,Tempest,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Donato Giancola',0.4,False
Orim Samite Healer,Creature,Human Cleric,Tempest,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kaja Foglio',0.96,True
Pacifism,Enchantment,Aura,Tempest,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Adam Rex',0.15,False
Pegasus Refuge,Enchantment,None,Tempest,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.29,False
Quickening Licid,Creature,Licid,Tempest,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',0.13,False
Repentance,Sorcery,None,Tempest,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.17,False
Sacred Guide,Creature,Human Cleric,Tempest,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Zina Saunders',2.36,False
Safeguard,Enchantment,None,Tempest,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Thomas M. Baxa',0.29,False
Serene Offering,Instant,None,Tempest,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.17,False
Soltari Crusader,Creature,Soltari Knight,Tempest,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.17,False
Soltari Emissary,Creature,Soltari Soldier,Tempest,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.37,False
Soltari Foot Soldier,Creature,Soltari Soldier,Tempest,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Janet Aulisio',0.17,False
Soltari Lancer,Creature,Soltari Knight,Tempest,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',0.13,False
Soltari Monk,Creature,Soltari Monk Cleric,Tempest,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Janet Aulisio',0.32,False
Soltari Priest,Creature,Soltari Cleric,Tempest,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Janet Aulisio',0.21,False
Soltari Trooper,Creature,Soltari Soldier,Tempest,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.14,False
Spirit Mirror,Enchantment,None,Tempest,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'D. Alexander Gregory',0.52,False
Staunch Defenders,Creature,Human Soldier,Tempest,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',0.09,False
Talon Sliver,Creature,Sliver,Tempest,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mike Raabe',0.34,False
Warmth,Enchantment,None,Tempest,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',0.22,False
Winds of Rath,Sorcery,None,Tempest,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',1.22,False
Worthy Cause,Instant,None,Tempest,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Matson',0.34,False
Benthic Behemoth,Creature,Serpent,Tempest,Rare,8,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',0.5,False
Capsize,Instant,None,Tempest,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Tom W\xc3\xa4nerstrand',1.08,False
Chill,Enchantment,None,Tempest,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Simanson',0.37,False
Counterspell,Instant,None,Tempest,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Daniele',1.41,False
Dismiss,Instant,None,Tempest,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Donato Giancola',0.23,False
Dream Cache,Sorcery,None,Tempest,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Phil Foglio',0.19,False
Duplicity,Enchantment,None,Tempest,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Frazier',0.19,False
Ertai's Meddling,Instant,None,Tempest,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Luke',0.77,False
Escaped Shapeshifter,Creature,Shapeshifter,Tempest,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Douglas Shuler',0.59,False
Fighting Drake,Creature,Drake,Tempest,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'DiTerlizzi',0.12,False
Fylamarid,Creature,Squid Beast,Tempest,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Una Fricker',0.13,False
Gaseous Form,Enchantment,Aura,Tempest,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Roger Raupp',0.05,False
Giant Crab,Creature,Crab,Tempest,Common,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Tom Kyffin',0.09,False
Horned Turtle,Creature,Turtle,Tempest,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'DiTerlizzi',0.12,False
Insight,Enchantment,None,Tempest,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Chironna',0.28,False
Interdict,Instant,None,Tempest,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Laubenstein',0.25,False
