names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angel of Retribution,Creature,Angel,Torment,Rare,7,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',0.19,False
Aven Trooper,Creature,Bird Soldier,Torment,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.07,False
Cleansing Meditation,Sorcery,None,Torment,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',1.33,False
Equal Treatment,Instant,None,Torment,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.22,False
Floating Shield,Enchantment,Aura,Torment,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Keith Garletts',0.09,False
Frantic Purification,Instant,None,Torment,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Brill',0.09,False
Hypochondria,Enchantment,None,Torment,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.13,False
Major Teroh,Creature,Bird Soldier,Torment,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.43,True
Militant Monk,Creature,Human Monk Cleric,Torment,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Brill',0.01,False
Morningtide,Sorcery,None,Torment,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Tony Szczudlo',0.31,False
Mystic Familiar,Creature,Bird,Torment,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.09,False
Pay No Heed,Instant,None,Torment,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.02,False
Possessed Nomad,Creature,Human Nomad Horror,Torment,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Peterson',0.2,False
