names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Akroma Angel of Wrath,Creature,Angel,Time Spiral Timeshifted,Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',2.95,True
Auratog,Creature,Atog,Time Spiral Timeshifted,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Miracola',0.54,False
Celestial Dawn,Enchantment,None,Time Spiral Timeshifted,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Liz Danforth',1.35,False
Consecrate Land,Enchantment,Aura,Time Spiral Timeshifted,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff A. Menges',0.32,False
Defiant Vanguard,Creature,Human Rebel,Time Spiral Timeshifted,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.15,False
Disenchant,Instant,None,Time Spiral Timeshifted,Rare,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Amy Weber',0.91,False
Enduring Renewal,Enchantment,None,Time Spiral Timeshifted,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Harold McNeill',1.31,False
Essence Sliver,Creature,Sliver,Time Spiral Timeshifted,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Glen Angus',3.44,False
Honorable Passage,Instant,None,Time Spiral Timeshifted,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Miracola',0.14,False
Icatian Javelineers,Creature,Human Soldier,Time Spiral Timeshifted,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Kirschner',0.12,False
Moorish Cavalry,Creature,Human Knight,Time Spiral Timeshifted,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dameon Willich',0.12,False
Resurrection,Sorcery,None,Time Spiral Timeshifted,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.21,False
Sacred Mesa,Enchantment,None,Time Spiral Timeshifted,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Margaret Organ-Kean',0.3,False
Soltari Priest,Creature,Soltari Cleric,Time Spiral Timeshifted,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Janet Aulisio',0.21,False
Squire,Creature,Human Soldier,Time Spiral Timeshifted,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dennis Detwiller',0.2,False
Valor,Creature,Incarnation,Time Spiral Timeshifted,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.17,False
Witch Hunter,Creature,Human Cleric,Time Spiral Timeshifted,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jesper Myrfors',0.22,False
Zhalfirin Commander,Creature,Human Knight,Time Spiral Timeshifted,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Stuart Griffin',0.15,False
Dandân,Creature,Fish,Time Spiral Timeshifted,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Drew Tucker',0.22,False
Flying Men,Creature,Human,Time Spiral Timeshifted,Rare,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Christopher Rush',1.79,False
Ghost Ship,Creature,Spirit,Time Spiral Timeshifted,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Tom W\xc3\xa4nerstrand',0.11,False
Giant Oyster,Creature,Oyster,Time Spiral Timeshifted,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Nicola Leonard',0.12,False
Leviathan,Creature,Leviathan,Time Spiral Timeshifted,Rare,9,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.18,False
