names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Academy Rector,Creature,Human Cleric,Urza's Destiny,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',46.32,False
Archery Training,Enchantment,Aura,Urza's Destiny,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Brill',0.22,False
Capashen Knight,Creature,Human Knight,Urza's Destiny,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.11,False
Capashen Standard,Enchantment,Aura,Urza's Destiny,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Todd Lockwood',0.18,False
Capashen Templar,Creature,Human Knight,Urza's Destiny,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Todd Lockwood',0.1,False
False Prophet,Creature,Human Cleric,Urza's Destiny,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Peterson',0.66,False
Fend Off,Instant,None,Urza's Destiny,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.1,False
Field Surgeon,Creature,Human Cleric,Urza's Destiny,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.14,False
Flicker,Sorcery,None,Urza's Destiny,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Douglas Shuler',0.76,False
Jasmine Seer,Creature,Human Wizard,Urza's Destiny,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Donato Giancola',0.12,False
Mask of Law and Grace,Enchantment,Aura,Urza's Destiny,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.19,False
Master Healer,Creature,Human Cleric,Urza's Destiny,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.23,False
Opalescence,Enchantment,None,Urza's Destiny,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',7.77,False
Reliquary Monk,Creature,Human Monk Cleric,Urza's Destiny,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Thomas M. Baxa',0.14,False
Replenish,Sorcery,None,Urza's Destiny,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',42.62,False
Sanctimony,Enchantment,None,Urza's Destiny,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Brill',0.12,False
Scent of Jasmine,Instant,None,Urza's Destiny,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Douglas Shuler',0.13,False
Scour,Instant,None,Urza's Destiny,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Eric Peterson',0.14,False
Serra Advocate,Creature,Angel,Urza's Destiny,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Hampton',0.15,False
Solidarity,Instant,None,Urza's Destiny,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Zeleznik',0.16,False
Tethered Griffin,Creature,Griffin,Urza's Destiny,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matthew D. Wilson',0.4,False
Tormented Angel,Creature,Angel,Urza's Destiny,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',0.16,False
Voice of Duty,Creature,Angel,Urza's Destiny,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.21,False
Voice of Reason,Creature,Angel,Urza's Destiny,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ray Lago',0.23,False
Wall of Glare,Creature,Wall,Urza's Destiny,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Patrick Ho',0.74,False
Aura Thief,Creature,Illusion,Urza's Destiny,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',5.55,False
Blizzard Elemental,Creature,Elemental,Urza's Destiny,Rare,7,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas M. Baxa',0.24,False
Brine Seer,Creature,Human Wizard,Urza's Destiny,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Donato Giancola',0.23,False
Bubbling Beebles,Creature,Beeble,Urza's Destiny,Common,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.12,False
Disappear,Enchantment,Aura,Urza's Destiny,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.13,False
Donate,Sorcery,None,Urza's Destiny,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',2.81,False
Fatigue,Sorcery,None,Urza's Destiny,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.09,False
Fledgling Osprey,Creature,Bird,Urza's Destiny,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.09,False
Illuminated Wings,Enchantment,Aura,Urza's Destiny,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Nelson',0.09,False
Iridescent Drake,Creature,Drake,Urza's Destiny,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Nelson',0.16,False
Kingfisher,Creature,Bird,Urza's Destiny,Common,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.13,False
Mental Discipline,Enchantment,None,Urza's Destiny,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.16,False
Metathran Elite,Creature,Metathran Soldier,Urza's Destiny,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Nelson',0.12,False
Metathran Soldier,Creature,Metathran Soldier,Urza's Destiny,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.14,False
Opposition,Enchantment,None,Urza's Destiny,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Todd Lockwood',5.36,False
Private Research,Enchantment,Aura,Urza's Destiny,Uncommon,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.2,False
Quash,Instant,None,Urza's Destiny,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Don Hazeltine',0.12,False
Rayne Academy Chancellor,Creature,Human Wizard,Urza's Destiny,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matthew D. Wilson',0.89,True
Rescue,Instant,None,Urza's Destiny,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.14,False
Scent of Brine,Instant,None,Urza's Destiny,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.18,False
Sigil of Sleep,Enchantment,Aura,Urza's Destiny,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Hildebrandt',0.3,False
Telepathic Spies,Creature,Human Wizard,Urza's Destiny,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas M. Baxa',0.09,False
Temporal Adept,Creature,Human Wizard,Urza's Destiny,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.55,False
Thieving Magpie,Creature,Bird,Urza's Destiny,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Una Fricker',0.17,False
Treachery,Enchantment,Aura,Urza's Destiny,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matthew D. Wilson',36.97,False
Apprentice Necromancer,Creature,Zombie Wizard,Urza's Destiny,Rare,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.88,False
Attrition,Enchantment,None,Urza's Destiny,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',6.04,False
Body Snatcher,Creature,Minion,Urza's Destiny,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',1.84,False
Bubbling Muck,Sorcery,None,Urza's Destiny,Common,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Hildebrandt',3.35,False
Carnival of Souls,Enchantment,None,Urza's Destiny,Rare,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',3.75,False
Chime of Night,Enchantment,Aura,Urza's Destiny,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.16,False
Disease Carriers,Creature,Rat,Urza's Destiny,Common,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Chippy',0.12,False
Dying Wail,Enchantment,Aura,Urza's Destiny,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.1,False
Encroach,Sorcery,None,Urza's Destiny,Uncommon,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'rk post',0.22,False
Eradicate,Sorcery,None,Urza's Destiny,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.15,False
Festering Wound,Enchantment,Aura,Urza's Destiny,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Chippy',0.25,False
Lurking Jackals,Enchantment,None,Urza's Destiny,Uncommon,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.12,False
Nightshade Seer,Creature,Human Wizard,Urza's Destiny,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Donato Giancola',0.12,False
Phyrexian Monitor,Creature,Skeleton,Urza's Destiny,Common,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.1,False
Phyrexian Negator,Creature,Horror,Urza's Destiny,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'John Zeleznik',1.44,False
Plague Dogs,Creature,Zombie Dog,Urza's Destiny,Uncommon,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Chippy',0.17,False
Rapid Decay,Instant,None,Urza's Destiny,Rare,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Chippy',0.32,False
Ravenous Rats,Creature,Rat,Urza's Destiny,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Carl Critchlow',0.16,False
Scent of Nightshade,Instant,None,Urza's Destiny,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Avon',0.1,False
