names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Angelic Curator,Creature,Angel Spirit,Urza's Legacy,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.14,False
Blessed Reversal,Instant,None,Urza's Legacy,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.26,False
Burst of Energy,Instant,None,Urza's Legacy,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Brill',0.14,False
Cessation,Enchantment,Aura,Urza's Legacy,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.13,False
Defender of Law,Creature,Human Knight,Urza's Legacy,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.11,False
Devout Harpist,Creature,Human,Urza's Legacy,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.16,False
Erase,Instant,None,Urza's Legacy,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.15,False
Expendable Troops,Creature,Human Soldier,Urza's Legacy,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.08,False
Hope and Glory,Instant,None,Urza's Legacy,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.13,False
Iron Will,Instant,None,Urza's Legacy,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Val Mayerik',0.1,False
Karmic Guide,Creature,Angel Spirit,Urza's Legacy,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',3.92,False
Knighthood,Enchantment,None,Urza's Legacy,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.17,False
Martyr's Cause,Enchantment,None,Urza's Legacy,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Laubenstein',1.53,False
Mother of Runes,Creature,Human Cleric,Urza's Legacy,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',2.67,False
Opal Avenger,Enchantment,None,Urza's Legacy,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.29,False
Opal Champion,Enchantment,None,Urza's Legacy,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,"b'Edward P. Beard, Jr.'",0.08,False
Peace and Quiet,Instant,None,Urza's Legacy,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Don Hazeltine',0.14,False
Planar Collapse,Enchantment,None,Urza's Legacy,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',1.23,False
Purify,Sorcery,None,Urza's Legacy,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',0.29,False
Radiant Archangel,Creature,Angel,Urza's Legacy,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Sutfin',3.0,True
Radiant's Dragoons,Creature,Human Soldier,Urza's Legacy,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.16,False
Radiant's Judgment,Instant,None,Urza's Legacy,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.25,False
Sustainer of the Realm,Creature,Angel,Urza's Legacy,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.15,False
Tragic Poet,Creature,Human,Urza's Legacy,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Quinton Hoover',0.14,False
Anthroplasm,Creature,Shapeshifter,Urza's Legacy,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.25,False
Archivist,Creature,Human Wizard,Urza's Legacy,Rare,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',0.34,False
Aura Flux,Enchantment,None,Urza's Legacy,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Avon',0.23,False
Bouncing Beebles,Creature,Beeble,Urza's Legacy,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.1,False
Cloud of Faeries,Creature,Faerie,Urza's Legacy,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',1.73,False
Delusions of Mediocrity,Enchantment,None,Urza's Legacy,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Laubenstein',0.35,False
Fleeting Image,Creature,Illusion,Urza's Legacy,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',0.23,False
Frantic Search,Instant,None,Urza's Legacy,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Banned,True,b'Jeff Miracola',0.87,False
Intervene,Instant,None,Urza's Legacy,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.19,False
King Crab,Creature,Crab,Urza's Legacy,Uncommon,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daniel Gelon',0.18,False
Levitation,Enchantment,None,Urza's Legacy,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.16,False
Miscalculation,Instant,None,Urza's Legacy,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Laubenstein',0.3,False
Opportunity,Instant,None,Urza's Legacy,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spears',0.13,False
Palinchron,Creature,Illusion,Urza's Legacy,Rare,7,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',29.06,False
Raven Familiar,Creature,Bird,Urza's Legacy,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,"b'Edward P. Beard, Jr.'",0.2,False
Rebuild,Instant,None,Urza's Legacy,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Allen Williams',0.69,False
Second Chance,Enchantment,None,Urza's Legacy,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Tedin',2.45,False
Slow Motion,Enchantment,Aura,Urza's Legacy,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Todd Lockwood',0.12,False
Snap,Instant,None,Urza's Legacy,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Raabe',0.94,False
Thornwind Faeries,Creature,Faerie,Urza's Legacy,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.2,False
Tinker,Sorcery,None,Urza's Legacy,Uncommon,3,Blue,Not Legal,Not Legal,Banned,Restrict.,Banned,True,b'Mike Raabe',1.87,False
Vigilant Drake,Creature,Drake,Urza's Legacy,Common,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.07,False
Walking Sponge,Creature,Sponge,Urza's Legacy,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.14,False
Weatherseed Faeries,Creature,Faerie,Urza's Legacy,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Don Hazeltine',0.09,False
Bone Shredder,Creature,Minion,Urza's Legacy,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.32,False
Brink of Madness,Enchantment,None,Urza's Legacy,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Donato Giancola',0.24,False
Engineered Plague,Enchantment,None,Urza's Legacy,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Sutfin',0.28,False
Eviscerator,Creature,Horror,Urza's Legacy,Rare,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Sutfin',0.18,False
Fog of Gnats,Creature,Insect,Urza's Legacy,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.12,False
Giant Cockroach,Creature,Insect,Urza's Legacy,Common,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.08,False
Lurking Skirge,Enchantment,None,Urza's Legacy,Rare,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.17,False
No Mercy,Enchantment,None,Urza's Legacy,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',20.77,False
Ostracize,Sorcery,None,Urza's Legacy,Common,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Chippy',0.11,False
Phyrexian Broodlings,Creature,Minion,Urza's Legacy,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.1,False
Phyrexian Debaser,Creature,Carrier,Urza's Legacy,Common,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.1,False
Phyrexian Defiler,Creature,Carrier,Urza's Legacy,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'DiTerlizzi',0.11,False
Phyrexian Denouncer,Creature,Carrier,Urza's Legacy,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Sn\xc3\xb5ddy',0.08,False
Phyrexian Plaguelord,Creature,Carrier,Urza's Legacy,Rare,5,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.33,False
Phyrexian Reclamation,Enchantment,None,Urza's Legacy,Uncommon,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',2.89,False
Plague Beetle,Creature,Insect,Urza's Legacy,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Tom Fleming',0.12,False
Rank and File,Creature,Zombie,Urza's Legacy,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Donato Giancola',0.09,False
Sick and Tired,Instant,None,Urza's Legacy,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Val Mayerik',0.07,False
Sleeper's Guile,Enchantment,Aura,Urza's Legacy,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.1,False
Subversion,Enchantment,None,Urza's Legacy,Rare,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rob Alexander',0.93,False
Swat,Instant,None,Urza's Legacy,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.1,False
Tethered Skirge,Creature,Imp,Urza's Legacy,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.15,False
Treacherous Link,Enchantment,Aura,Urza's Legacy,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.14,False
Unearth,Sorcery,None,Urza's Legacy,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Don Hazeltine',0.46,False
About Face,Instant,None,Urza's Legacy,Common,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Melissa A. Benson',0.17,False
Avalanche Riders,Creature,Human Nomad,Urza's Legacy,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,True,"b'Edward P. Beard, Jr.'",0.54,False
Defender of Chaos,Creature,Human Knight,Urza's Legacy,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.09,False
Ghitu Fire-Eater,Creature,Human Nomad,Urza's Legacy,Uncommon,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',0.17,False
Ghitu Slinger,Creature,Human Nomad,Urza's Legacy,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Melissa A. Benson',0.14,False
Ghitu War Cry,Enchantment,None,Urza's Legacy,Uncommon,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.1,False
Goblin Medics,Creature,Goblin Shaman,Urza's Legacy,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Laubenstein',0.11,False
Goblin Welder,Creature,Goblin Artificer,Urza's Legacy,Rare,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Scott M. Fischer',2.33,False
Granite Grip,Enchantment,Aura,Urza's Legacy,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Raabe',0.1,False
Impending Disaster,Enchantment,None,Urza's Legacy,Rare,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Pete Venters',2.22,False
Last-Ditch Effort,Instant,None,Urza's Legacy,Uncommon,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Frazier',0.38,False
Lava Axe,Sorcery,None,Urza's Legacy,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Sn\xc3\xb5ddy',0.1,False
Molten Hydra,Creature,Hydra,Urza's Legacy,Rare,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.39,False
Parch,Instant,None,Urza's Legacy,Common,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.1,False
Pygmy Pyrosaur,Creature,Lizard,Urza's Legacy,Common,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Frazier',0.05,False
Pyromancy,Enchantment,None,Urza's Legacy,Rare,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Quinton Hoover',0.34,False
