names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Absolute Grace,Enchantment,None,Urza's Saga,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.44,False
Absolute Law,Enchantment,None,Urza's Saga,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.43,False
Angelic Chorus,Enchantment,None,Urza's Saga,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',1.6,False
Angelic Page,Creature,Angel Spirit,Urza's Saga,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.2,False
Brilliant Halo,Enchantment,Aura,Urza's Saga,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.18,False
Catastrophe,Sorcery,None,Urza's Saga,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Andrew Robinson',4.07,False
Clear,Instant,None,Urza's Saga,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',0.28,False
Congregate,Instant,None,Urza's Saga,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',0.17,False
Defensive Formation,Enchantment,None,Urza's Saga,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.25,False
Disciple of Grace,Creature,Human Cleric,Urza's Saga,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Robh Ruppel',0.19,False
Disciple of Law,Creature,Human Cleric,Urza's Saga,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matthew D. Wilson',0.14,False
Disenchant,Instant,None,Urza's Saga,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Donato Giancola',0.18,False
Elite Archers,Creature,Human Soldier Archer,Urza's Saga,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Staples',0.26,False
Faith Healer,Creature,Human Cleric,Urza's Saga,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.61,False
Glorious Anthem,Enchantment,None,Urza's Saga,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',1.41,False
Healing Salve,Instant,None,Urza's Saga,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.1,False
Herald of Serra,Creature,Angel,Urza's Saga,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Matthew D. Wilson',0.83,False
Humble,Instant,None,Urza's Saga,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Val Mayerik',0.13,False
Intrepid Hero,Creature,Human Soldier,Urza's Saga,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Sn\xc3\xb5ddy',0.62,False
Monk Idealist,Creature,Human Monk Cleric,Urza's Saga,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.21,False
Monk Realist,Creature,Human Monk Cleric,Urza's Saga,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Daren Bader',0.15,False
Opal Acrolith,Enchantment,None,Urza's Saga,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Robh Ruppel',0.15,False
Opal Archangel,Enchantment,None,Urza's Saga,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.99,False
Opal Caryatid,Enchantment,None,Urza's Saga,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Berry',0.12,False
Opal Gargoyle,Enchantment,None,Urza's Saga,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.09,False
Opal Titan,Enchantment,None,Urza's Saga,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.23,False
Pacifism,Enchantment,Aura,Urza's Saga,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.12,False
Pariah,Enchantment,Aura,Urza's Saga,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jon J Muth',0.92,False
Path of Peace,Sorcery,None,Urza's Saga,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Val Mayerik',0.09,False
Pegasus Charger,Creature,Pegasus,Urza's Saga,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Val Mayerik',0.11,False
Planar Birth,Sorcery,None,Urza's Saga,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Adam Rex',1.26,False
Presence of the Master,Enchantment,None,Urza's Saga,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ciruelo',0.26,False
Redeem,Instant,None,Urza's Saga,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'D. Alexander Gregory',0.16,False
Remembrance,Enchantment,None,Urza's Saga,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Val Mayerik',4.19,False
Rune of Protection: Artifacts,Enchantment,None,Urza's Saga,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.25,False
Rune of Protection: Black,Enchantment,None,Urza's Saga,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.16,False
Rune of Protection: Blue,Enchantment,None,Urza's Saga,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.16,False
Rune of Protection: Green,Enchantment,None,Urza's Saga,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.15,False
Rune of Protection: Lands,Enchantment,None,Urza's Saga,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.28,False
Rune of Protection: Red,Enchantment,None,Urza's Saga,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.3,False
Rune of Protection: White,Enchantment,None,Urza's Saga,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott M. Fischer',0.24,False
Sanctum Custodian,Creature,Human Cleric,Urza's Saga,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.12,False
Sanctum Guardian,Creature,Human Cleric,Urza's Saga,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Donato Giancola',0.2,False
Seasoned Marshal,Creature,Human Soldier,Urza's Saga,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',0.19,False
Serra Avatar,Creature,Avatar,Urza's Saga,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dermot Power',1.44,False
Serra Zealot,Creature,Human Soldier,Urza's Saga,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'DiTerlizzi',0.16,False
Serra's Embrace,Enchantment,Aura,Urza's Saga,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Terese Nielsen',0.27,False
Serra's Hymn,Enchantment,None,Urza's Saga,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.24,False
Serra's Liturgy,Enchantment,None,Urza's Saga,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'rk post',0.27,False
Shimmering Barrier,Creature,Wall,Urza's Saga,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'D. Alexander Gregory',0.26,False
Silent Attendant,Creature,Human Cleric,Urza's Saga,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rebecca Guay',0.13,False
Songstitcher,Creature,Human Cleric,Urza's Saga,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Berry',0.13,False
Soul Sculptor,Creature,Human,Urza's Saga,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ciruelo',0.42,False
Voice of Grace,Creature,Angel,Urza's Saga,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.24,False
Voice of Law,Creature,Angel,Urza's Saga,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Zug',0.25,False
Waylay,Instant,None,Urza's Saga,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Staples',0.15,False
Worship,Enchantment,None,Urza's Saga,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Zug',2.19,False
Academy Researchers,Creature,Human Wizard,Urza's Saga,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Daniele',0.25,False
Annul,Instant,None,Urza's Saga,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Greg Simanson',0.2,False
Arcane Laboratory,Enchantment,None,Urza's Saga,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Daniele',1.1,False
Attunement,Enchantment,None,Urza's Saga,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',3.67,False
Back to Basics,Enchantment,None,Urza's Saga,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Andrew Robinson',10.26,False
Barrin Master Wizard,Creature,Human Wizard,Urza's Saga,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Sutfin',15.39,True
Catalog,Instant,None,Urza's Saga,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Berry',0.09,False
Cloak of Mists,Enchantment,Aura,Urza's Saga,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'John Matson',0.29,False
Confiscate,Enchantment,Aura,Urza's Saga,Uncommon,6,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.25,False
Coral Merfolk,Creature,Merfolk,Urza's Saga,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,True,b'rk post',0.1,False
Curfew,Instant,None,Urza's Saga,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.26,False
Disruptive Student,Creature,Human Wizard,Urza's Saga,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Randy Gallegos',0.2,False
Douse,Enchantment,None,Urza's Saga,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Val Mayerik',0.24,False
Drifting Djinn,Creature,Djinn,Urza's Saga,Rare,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.32,False
Enchantment Alteration,Instant,None,Urza's Saga,Uncommon,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'D. Alexander Gregory',0.17,False
Energy Field,Enchantment,None,Urza's Saga,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'John Matson',4.91,False
Exhaustion,Sorcery,None,Urza's Saga,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Paolo Parente',0.57,False
Fog Bank,Creature,Wall,Urza's Saga,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Kirschner',0.51,False
Gilded Drake,Creature,Drake,Urza's Saga,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bob Eggleton',169.03,False
Great Whale,Creature,Whale,Urza's Saga,Rare,7,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bob Eggleton',7.43,False
Hermetic Study,Enchantment,Aura,Urza's Saga,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spencer',0.2,False
Hibernation,Instant,None,Urza's Saga,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Kirschner',0.26,False
Horseshoe Crab,Creature,Crab,Urza's Saga,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Kirschner',0.18,False
Imaginary Pet,Creature,Illusion,Urza's Saga,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.29,False
Launch,Enchantment,Aura,Urza's Saga,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Val Mayerik',0.14,False
Lilting Refrain,Enchantment,None,Urza's Saga,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Berry',0.2,False
Lingering Mirage,Enchantment,Aura,Urza's Saga,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jerry Tiritilli',0.25,False
Morphling,Creature,Shapeshifter,Urza's Saga,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'rk post',7.1,False
Pendrell Drake,Creature,Drake,Urza's Saga,Common,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.15,False
Pendrell Flux,Enchantment,Aura,Urza's Saga,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',0.13,False
Peregrine Drake,Creature,Drake,Urza's Saga,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Bob Eggleton',0.71,False
Power Sink,Instant,None,Urza's Saga,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Andrew Robinson',0.2,False
Power Taint,Enchantment,Aura,Urza's Saga,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brian Sn\xc3\xb5ddy',0.16,False
Recantation,Enchantment,None,Urza's Saga,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Simanson',0.27,False
Rescind,Instant,None,Urza's Saga,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.24,False
Rewind,Instant,None,Urza's Saga,Common,4,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Dermot Power',0.31,False
Sandbar Merfolk,Creature,Merfolk,Urza's Saga,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'rk post',0.14,False
Sandbar Serpent,Creature,Serpent,Urza's Saga,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jim Nelson',0.15,False
Show and Tell,Sorcery,None,Urza's Saga,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Jeff Laubenstein',10.67,False
Somnophore,Creature,Illusion,Urza's Saga,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',0.39,False
Spire Owl,Creature,Bird,Urza's Saga,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Firchow',0.29,False
Stern Proctor,Creature,Human Wizard,Urza's Saga,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.31,False
Stroke of Genius,Instant,None,Urza's Saga,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Daniele',4.03,False
Sunder,Instant,None,Urza's Saga,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Stephen Daniele',5.26,False
Telepathy,Enchantment,None,Urza's Saga,Uncommon,1,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Matthew D. Wilson',0.54,False
Time Spiral,Sorcery,None,Urza's Saga,Rare,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Michael Sutfin',93.67,False
Tolarian Winds,Instant,None,Urza's Saga,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Lawrence Snelly',0.58,False
Turnabout,Instant,None,Urza's Saga,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',6.58,False
Veil of Birds,Enchantment,None,Urza's Saga,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Heather Hudson',0.11,False
Veiled Apparition,Enchantment,None,Urza's Saga,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',0.12,False
Veiled Crocodile,Enchantment,None,Urza's Saga,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.29,False
Veiled Sentry,Enchantment,None,Urza's Saga,Uncommon,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ron Spears',0.23,False
Veiled Serpent,Enchantment,None,Urza's Saga,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bob Eggleton',0.11,False
Windfall,Sorcery,None,Urza's Saga,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Restrict.,Banned,True,b'Pete Venters',3.91,False
Wizard Mentor,Creature,Human Wizard,Urza's Saga,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Jeff Miracola',0.1,False
Zephid,Creature,Illusion,Urza's Saga,Rare,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Daren Bader',0.53,False
