names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Karn the Great Creator,Planeswalker,Karn,War of the Spark,Rare,4,Colorless,Legal,Legal,Legal,Restrict.,Legal,True,b'Wisnu Tan',5.3,True
Ugin the Ineffable,Planeswalker,Ugin,War of the Spark,Rare,6,Colorless,Legal,Legal,Legal,Legal,Legal,True,b'Daarken',2.79,True
Ugin's Conjurant,Creature,Spirit Monk,War of the Spark,Uncommon,1,Colorless,Legal,Legal,Legal,Legal,Legal,True,b'Ryan Yee',0.11,False
Ajani's Pridemate,Creature,Cat Soldier,War of the Spark,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Sidharth Chaturvedi',0.2,False
Battlefield Promotion,Instant,None,War of the Spark,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Scott Murphy',0.05,False
Bond of Discipline,Sorcery,None,War of the Spark,Uncommon,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Zezhou Chen',0.07,False
Bulwark Giant,Creature,Giant Soldier,War of the Spark,Common,6,White,Legal,Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',0.04,False
Charmed Stray,Creature,Cat,War of the Spark,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Chris Rahn',0.11,False
Defiant Strike,Instant,None,War of the Spark,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Gabor Szikszai',0.1,False
Divine Arrow,Instant,None,War of the Spark,Common,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.03,False
Enforcer Griffin,Creature,Griffin,War of the Spark,Common,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Johan Grenier',0.02,False
Finale of Glory,Sorcery,None,War of the Spark,Mythic Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Stanton Feng',1.92,False
Gideon Blackblade,Planeswalker,Gideon,War of the Spark,Mythic Rare,3,White,Legal,Legal,Legal,Legal,Legal,True,b'Viktor Titov',4.23,True
Gideon's Sacrifice,Instant,None,War of the Spark,Common,1,White,Legal,Legal,Legal,Legal,Legal,True,b'Chris Rallis',0.07,False
Gideon's Triumph,Instant,None,War of the Spark,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.08,False
God-Eternal Oketra,Creature,Zombie God,War of the Spark,Mythic Rare,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Grzegorz Rutkowski',6.72,True
Grateful Apparition,Creature,Spirit,War of the Spark,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,True,b'Izzy',0.11,False
Ignite the Beacon,Instant,None,War of the Spark,Rare,5,White,Legal,Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.26,False
Ironclad Krovod,Creature,Beast,War of the Spark,Common,4,White,Legal,Legal,Legal,Legal,Legal,True,b'Sam Rowan',0.01,False
