names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Abeyance,Instant,None,Weatherlight,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas Gianni',6.96,False
Alabaster Dragon,Creature,Dragon,Weatherlight,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Bob Eggleton',0.55,False
Alms,Enchantment,None,Weatherlight,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Rog\xc3\xa9rio Vilela',0.06,False
Angelic Renewal,Enchantment,None,Weatherlight,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.27,False
Ardent Militia,Creature,Human Soldier,Weatherlight,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zina Saunders',0.03,False
Argivian Find,Instant,None,Weatherlight,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Roger Raupp',0.97,False
Aura of Silence,Enchantment,None,Weatherlight,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'D. Alexander Gregory',3.37,False
Benalish Infantry,Creature,Human Soldier,Weatherlight,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Frazier',0.09,False
Benalish Knight,Creature,Human Knight,Weatherlight,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zina Saunders',0.11,False
Benalish Missionary,Creature,Human Cleric,Weatherlight,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',0.08,False
Debt of Loyalty,Instant,None,Weatherlight,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Pete Venters',6.62,False
Duskrider Falcon,Creature,Bird,Weatherlight,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Cecil Fernando',0.13,False
Empyrial Armor,Enchantment,Aura,Weatherlight,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'D. Alexander Gregory',0.26,False
Foriysian Brigade,Creature,Human Soldier,Weatherlight,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.11,False
Gerrard's Wisdom,Sorcery,None,Weatherlight,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Heather Hudson',0.16,False
Guided Strike,Instant,None,Weatherlight,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Gary Leach',0.13,False
Heavy Ballista,Creature,Human Soldier,Weatherlight,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Ron Spencer',0.1,False
Inner Sanctum,Enchantment,None,Weatherlight,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'D. Alexander Gregory',0.65,False
Kithkin Armor,Enchantment,Aura,Weatherlight,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Charles Gillespie',0.13,False
Master of Arms,Creature,Human Soldier,Weatherlight,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Dan Frazier',0.1,False
Mistmoon Griffin,Creature,Griffin,Weatherlight,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'David A. Cherry',0.27,False
Peacekeeper,Creature,Human,Weatherlight,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Donato Giancola',5.53,False
Revered Unicorn,Creature,Unicorn,Weatherlight,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'David A. Cherry',0.22,False
Serenity,Enchantment,None,Weatherlight,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Cliff Nielsen',1.79,False
Serra's Blessing,Enchantment,None,Weatherlight,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Rebecca Guay',0.56,False
Soul Shepherd,Creature,Human Cleric,Weatherlight,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Coulthart',0.06,False
Southern Paladin,Creature,Human Knight,Weatherlight,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Douglas Shuler',0.36,False
Tariff,Sorcery,None,Weatherlight,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.3,False
Volunteer Reserves,Creature,Human Soldier,Weatherlight,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Kev Walker',0.12,False
Abduction,Enchantment,Aura,Weatherlight,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Colin MacNeil',0.24,False
Abjure,Instant,None,Weatherlight,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Ted Naifeh',0.38,False
Ancestral Knowledge,Enchantment,None,Weatherlight,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Colin MacNeil',2.23,False
Apathy,Enchantment,Aura,Weatherlight,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Phil Foglio',0.09,False
Argivian Restoration,Sorcery,None,Weatherlight,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Roger Raupp',0.26,False
Avizoa,Creature,Jellyfish,Weatherlight,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Paolo Parente',0.38,False
Cloud Djinn,Creature,Djinn,Weatherlight,Uncommon,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Dringenberg',0.11,False
Disrupt,Instant,None,Weatherlight,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Adam Rex',0.22,False
Ertai's Familiar,Creature,Illusion,Weatherlight,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Kipling West',0.43,False
Flux,Sorcery,None,Weatherlight,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Richard Kane Ferguson',0.29,False
Fog Elemental,Creature,Elemental,Weatherlight,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Jon J Muth',0.05,False
Mana Chains,Enchantment,Aura,Weatherlight,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bryan Talbot',0.14,False
Manta Ray,Creature,Fish,Weatherlight,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Una Fricker',0.06,False
Merfolk Traders,Creature,Merfolk,Weatherlight,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'DiTerlizzi',0.16,False
Noble Benefactor,Creature,Human Cleric,Weatherlight,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'DiTerlizzi',0.39,False
Ophidian,Creature,Snake,Weatherlight,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Cliff Nielsen',0.15,False
Paradigm Shift,Sorcery,None,Weatherlight,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Cliff Nielsen',9.96,False
Pendrell Mists,Enchantment,None,Weatherlight,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Andrew Robinson',5.02,False
Phantom Warrior,Creature,Illusion Warrior,Weatherlight,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,True,b'John Matson',0.1,False
Phantom Wings,Enchantment,Aura,Weatherlight,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Una Fricker',0.09,False
Psychic Vortex,Enchantment,None,Weatherlight,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Luke',0.96,False
Relearn,Sorcery,None,Weatherlight,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Zina Saunders',0.24,False
Sage Owl,Creature,Bird,Weatherlight,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Poole',0.16,False
Teferi's Veil,Enchantment,None,Weatherlight,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Brom',0.62,False
Timid Drake,Creature,Drake,Weatherlight,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Dringenberg',0.11,False
Tolarian Drake,Creature,Drake,Weatherlight,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Harrison',0.1,False
Tolarian Entrancer,Creature,Human Wizard,Weatherlight,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bryan Talbot',1.22,False
Tolarian Serpent,Creature,Serpent,Weatherlight,Rare,7,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Stuart Griffin',0.91,False
Vodalian Illusionist,Creature,Merfolk Wizard,Weatherlight,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Matson',0.47,False
Abyssal Gatekeeper,Creature,Horror,Weatherlight,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Tedin',0.26,False
Agonizing Memories,Sorcery,None,Weatherlight,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Dringenberg',0.1,False
Barrow Ghoul,Creature,Zombie,Weatherlight,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Bryan Talbot',0.11,False
Bone Dancer,Creature,Zombie,Weatherlight,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Scott Kirschner',2.87,False
Buried Alive,Sorcery,None,Weatherlight,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Brian Horton',2.43,False
Circling Vultures,Creature,Bird,Weatherlight,Uncommon,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Una Fricker',0.15,False
Coils of the Medusa,Enchantment,Aura,Weatherlight,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Darbury Stenderu',0.1,False
Doomsday,Sorcery,None,Weatherlight,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Adrian Smith',11.57,False
Fatal Blow,Instant,None,Weatherlight,Common,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'George Pratt',0.09,False
Festering Evil,Enchantment,None,Weatherlight,Uncommon,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'John Matson',0.24,False
Fledgling Djinn,Creature,Djinn,Weatherlight,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'Thomas Gianni',0.1,False
Gallowbraid,Creature,Horror,Weatherlight,Rare,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Carl Critchlow',0.37,True
Haunting Misery,Sorcery,None,Weatherlight,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Gary Leach',0.16,False
Hidden Horror,Creature,Horror,Weatherlight,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,True,b'Clint Langley',0.11,False
Infernal Tribute,Enchantment,None,Weatherlight,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,False,b'Terese Nielsen',1.66,False
Mischievous Poltergeist,Creature,Spirit,Weatherlight,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,True,b'DiTerlizzi',0.24,False
