names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Admonition Angel,Creature,Angel,Worldwake,Mythic Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steve Argyle',4.86,False
Apex Hawks,Creature,Bird,Worldwake,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'David Palumbo',0.08,False
Archon of Redemption,Creature,Archon,Worldwake,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steven Belledin',0.25,False
Battle Hurda,Creature,Giant,Worldwake,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.06,False
Fledgling Griffin,Creature,Griffin,Worldwake,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Christopher Moeller',0.07,False
Guardian Zendikon,Enchantment,Aura,Worldwake,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'John Avon',0.11,False
Hada Freeblade,Creature,Human Soldier Ally,Worldwake,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Cyril Van Der Haegen',0.36,False
Iona's Judgment,Sorcery,None,Worldwake,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Bierek',0.06,False
Join the Ranks,Instant,None,Worldwake,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kekai Kotaki',0.13,False
Kitesail Apprentice,Creature,Kor Soldier,Worldwake,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Austin Hsu',0.15,False
Kor Firewalker,Creature,Kor Soldier,Worldwake,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.47,False
Lightkeeper of Emeria,Creature,Angel,Worldwake,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.21,False
Loam Lion,Creature,Cat,Worldwake,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daniel Ljunggren',0.31,False
Marsh Threader,Creature,Kor Scout,Worldwake,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'David Palumbo',0.05,False
Marshal's Anthem,Enchantment,None,Worldwake,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Matt Stewart',0.36,False
Perimeter Captain,Creature,Human Soldier,Worldwake,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',1.11,False
Refraction Trap,Instant,Trap,Worldwake,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Zoltan Boros',0.08,False
Rest for the Weary,Instant,None,Worldwake,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'James Paick',0.22,False
Ruin Ghost,Creature,Spirit,Worldwake,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jason A. Engle',0.17,False
Stoneforge Mystic,Creature,Kor Artificer,Worldwake,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Mike Bierek',35.63,False
Talus Paladin,Creature,Human Knight Ally,Worldwake,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Svetlin Velinov',0.65,False
Terra Eternal,Enchantment,None,Worldwake,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Daniel Ljunggren',0.57,False
Veteran's Reflexes,Instant,None,Worldwake,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Scott Chou',0.08,False
Aether Tradewinds,Instant,None,Worldwake,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Kieran Yanner',0.06,False
Calcite Snapper,Creature,Turtle,Worldwake,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'David Palumbo',0.09,False
