names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Adanto Vanguard,Creature,Vampire Soldier,Ixalan,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Anna Steinbauer',0.21,False
Ashes of the Abhorrent,Enchantment,None,Ixalan,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.4,False
Axis of Mortality,Enchantment,None,Ixalan,Mythic Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Bastien L. Deharme',0.56,False
Bellowing Aegisaur,Creature,Dinosaur,Ixalan,Uncommon,6,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Craig J Spearing',0.1,False
Bishop of Rebirth,Creature,Vampire Cleric,Ixalan,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tommy Arnold',0.37,False
Bishop's Soldier,Creature,Vampire Soldier,Ixalan,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott Murphy',0.12,False
Bright Reprisal,Instant,None,Ixalan,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Ryan Alexander Lee',0.04,False
Demystify,Instant,None,Ixalan,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Igor Kieryluk',0.09,False
Duskborne Skymarcher,Creature,Vampire Cleric,Ixalan,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Seb McKinnon',0.12,False
Emissary of Sunrise,Creature,Human Cleric,Ixalan,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Deruchenko Alexander',0.08,False
Encampment Keeper,Creature,Dog,Ixalan,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Craig J Spearing',0.07,False
Glorifier of Dusk,Creature,Vampire Soldier,Ixalan,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Viktor Titov',0.06,False
Goring Ceratops,Creature,Dinosaur,Ixalan,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zezhou Chen',0.33,False
Imperial Aerosaur,Creature,Dinosaur,Ixalan,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Jesper Ejsing',0.11,False
Imperial Lancer,Creature,Human Knight,Ixalan,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Viktor Titov',0.08,False
Inspiring Cleric,Creature,Vampire Cleric,Ixalan,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Randy Gallegos',0.09,False
Ixalan's Binding,Enchantment,None,Ixalan,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Chase Stone',0.38,False
Kinjalli's Caller,Creature,Human Cleric,Ixalan,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Sara Winters',0.09,False
Kinjalli's Sunwing,Creature,Dinosaur,Ixalan,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Simon Dominic',1.0,False
Legion Conquistador,Creature,Vampire Soldier,Ixalan,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sidharth Chaturvedi',0.11,False
Legion's Judgment,Sorcery,None,Ixalan,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lucas Graciano',0.07,False
Legion's Landing,Enchantment,None,Ixalan,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Svetlin Velinov',2.15,True
Looming Altisaur,Creature,Dinosaur,Ixalan,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.09,False
Mavren Fein Dusk Apostle,Creature,Vampire Cleric,Ixalan,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Daarken',0.61,True
Paladin of the Bloodstained,Creature,Vampire Knight,Ixalan,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Bastien L. Deharme',0.1,False
Pious Interdiction,Enchantment,Aura,Ixalan,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Lake Hurwitz',0.05,False
Priest of the Wakening Sun,Creature,Human Cleric,Ixalan,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Bastien L. Deharme',0.29,False
Pterodon Knight,Creature,Human Knight,Ixalan,Common,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Anthony Palumbo',0.09,False
Queen's Commission,Sorcery,None,Ixalan,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Mark Behm',0.11,False
Rallying Roar,Instant,None,Ixalan,Uncommon,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'John Stanko',0.09,False
Raptor Companion,Creature,Dinosaur,Ixalan,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Slawomir Maniak',0.04,False
Ritual of Rejuvenation,Instant,None,Ixalan,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Bastien L. Deharme',0.09,False
Sanguine Sacrament,Instant,None,Ixalan,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Bastien L. Deharme',0.31,False
Settle the Wreckage,Instant,None,Ixalan,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dimitar Marinski',3.02,False
Sheltering Light,Instant,None,Ixalan,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Gabor Szikszai',0.28,False
Shining Aerosaur,Creature,Dinosaur,Ixalan,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Dan Scott',0.04,False
Skyblade of the Legion,Creature,Vampire Soldier,Ixalan,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Daarken',0.06,False
Slash of Talons,Instant,None,Ixalan,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Magali Villeneuve',0.05,False
Steadfast Armasaur,Creature,Dinosaur,Ixalan,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Greg Opalinski',0.09,False
Sunrise Seeker,Creature,Human Scout,Ixalan,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Filip Burburan',0.02,False
Territorial Hammerskull,Creature,Dinosaur,Ixalan,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Lars Grant-West',0.1,False
Tocatli Honor Guard,Creature,Human Soldier,Ixalan,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Sara Winters',0.37,False
Vampire's Zeal,Instant,None,Ixalan,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Gabor Szikszai',0.07,False
Wakening Sun's Avatar,Creature,Dinosaur Avatar,Ixalan,Mythic Rare,8,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Tyler Jacobson',3.51,False
Air Elemental,Creature,Elemental,Ixalan,Uncommon,5,Blue,Legal,Legal,Legal,Legal,Legal,True,b'Tomasz Jedruszek',0.04,False
Arcane Adaptation,Enchantment,None,Ixalan,Rare,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mark Behm',1.3,False
Cancel,Instant,None,Ixalan,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Mathias Kollros',0.09,False
Chart a Course,Sorcery,None,Ixalan,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'James Ryman',0.49,False
Daring Saboteur,Creature,Human Pirate,Ixalan,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,True,b'Victor Adame Minguez',0.25,False
Deadeye Quartermaster,Creature,Human Pirate,Ixalan,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Josh Hass',0.15,False
Deeproot Waters,Enchantment,None,Ixalan,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,False,b'Zezhou Chen',0.25,False
