names,supertypes,subtypes,set,rarity,cmc,color,modern legality,standard legality,commander legality,vintage legality,legacy legality,reprint,artist,price,is_legendary
Armament Master,Creature,Kor Soldier,Zendikar,Rare,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Steven Belledin',0.26,False
Arrow Volley Trap,Instant,Trap,Zendikar,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',0.11,False
Bold Defense,Instant,None,Zendikar,Common,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Scott Chou',0.09,False
Brave the Elements,Instant,None,Zendikar,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Goran Josic',0.3,False
Caravan Hurda,Creature,Giant,Zendikar,Common,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Dave Kendall',0.09,False
Celestial Mantle,Enchantment,Aura,Zendikar,Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Steve Argyle',2.85,False
Cliff Threader,Creature,Kor Scout,Zendikar,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Paul Bonner',0.05,False
Conqueror's Pledge,Sorcery,None,Zendikar,Rare,5,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Kev Walker',0.37,False
Day of Judgment,Sorcery,None,Zendikar,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Vincent Proce',2.21,False
Devout Lightcaster,Creature,Kor Cleric,Zendikar,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Shelly Wan',0.27,False
Emeria Angel,Creature,Angel,Zendikar,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Jim Murray',0.87,False
Felidar Sovereign,Creature,Cat Beast,Zendikar,Mythic Rare,6,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Zoltan Boros',1.17,False
Iona Shield of Emeria,Creature,Angel,Zendikar,Mythic Rare,9,White,Legal,Not Legal,Banned,Legal,Legal,True,b'Jason Chan',4.18,True
Journey to Nowhere,Enchantment,None,Zendikar,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,True,b'Warren Mahy',0.56,False
Kabira Evangel,Creature,Human Cleric Ally,Zendikar,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Eric Deschamps',0.61,False
Kazandu Blademaster,Creature,Human Soldier Ally,Zendikar,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,False,b'Michael Komarck',0.34,False
