set_name,set_id,set_size,set_year
Core Set 2020,m20,344,2019
Core Set 2019,m19,314,2018
Magic Origins,ori,288,2015
Magic 2015,m15,284,2014
Magic 2014,m14,249,2013
Magic 2013,m13,249,2012
Magic 2012,m12,249,2011
Magic 2011,m11,249,2010
Magic 2010,m10,249,2009
Tenth Edition,10e,383,2007
Ninth Edition,9ed,359,2005
Eighth Edition,8ed,357,2003
Seventh Edition,7ed,350,2001
Classic Sixth Edition,6ed,350,1999
Fifth Edition,5ed,449,1997
Fourth Edition Foreign Black Border,4bb,378,1995
Fourth Edition,4ed,378,1995
Summer Magic,sum,306,1994
Foreign Black Border,fbb,307,1994
Revised Edition,3ed,306,1994
Unlimited Edition,2ed,302,1993
Limited Edition Beta,leb,302,1993
Limited Edition Alpha,lea,295,1993
Ikoria Lair of Behemoths,iko,387,2020
Theros Beyond Death,thb,358,2020
Throne of Eldraine,eld,397,2019
War of the Spark,war,311,2019
Ravnica Allegiance,rna,273,2019
Guilds of Ravnica,grn,273,2018
Dominaria,dom,280,2018
Rivals of Ixalan,rix,205,2018
Ixalan,xln,289,2017
Hour of Devastation,hou,209,2017
Amonkhet,akh,287,2017
Aether Revolt,aer,194,2017
Kaladesh,kld,274,2016
Eldritch Moon,emn,208,2016
Shadows over Innistrad,soi,297,2016
Oath of the Gatewatch,ogw,186,2016
Battle for Zendikar,bfz,299,2015
Dragons of Tarkir,dtk,264,2015
Fate Reforged,frf,185,2015
Khans of Tarkir,ktk,269,2014
Journey into Nyx,jou,165,2014
Born of the Gods,bng,165,2014
Theros,ths,249,2013
Dragon's Maze,dgm,156,2013
Gatecrash,gtc,249,2013
Return to Ravnica,rtr,274,2012
Avacyn Restored,avr,244,2012
Dark Ascension,dka,158,2012
Innistrad,isd,264,2011
New Phyrexia,nph,175,2011
Mirrodin Besieged,mbs,155,2011
Scars of Mirrodin,som,249,2010
Rise of the Eldrazi,roe,248,2010
Worldwake,wwk,145,2010
Zendikar,zen,269,2009
Alara Reborn,arb,145,2009
Conflux,con,145,2009
Shards of Alara,ala,249,2008
Eventide,eve,180,2008
Shadowmoor,shm,302,2008
Morningtide,mor,150,2008
Lorwyn,lrw,301,2007
Future Sight,fut,180,2007
Planar Chaos,plc,165,2007
Time Spiral Timeshifted,tsb,121,2006
Time Spiral,tsp,301,2006
Coldsnap,csp,155,2006
Dissension,dis,180,2006
Guildpact,gpt,165,2006
Ravnica City of Guilds,rav,306,2005
Saviors of Kamigawa,sok,165,2005
Betrayers of Kamigawa,bok,165,2005
Champions of Kamigawa,chk,307,2004
Fifth Dawn,5dn,165,2004
Darksteel,dst,165,2004
Mirrodin,mrd,306,2003
Scourge,scg,143,2003
Legions,lgn,145,2003
Onslaught,ons,350,2002
Judgment,jud,143,2002
Torment,tor,143,2002
Odyssey,ody,350,2001
Apocalypse,apc,143,2001
Planeshift,pls,146,2001
Invasion,inv,350,2000
Prophecy,pcy,143,2000
Nemesis,nem,143,2000
Mercadian Masques,mmq,350,1999
Urza's Destiny,uds,143,1999
Urza's Legacy,ulg,143,1999
Urza's Saga,usg,350,1998
Exodus,exo,143,1998
Stronghold,sth,143,1998
Tempest,tmp,350,1997
Weatherlight,wth,167,1997
Visions,vis,167,1997
Mirage,mir,350,1996
Alliances,all,199,1996
Homelands,hml,140,1995
Ice Age,ice,383,1995
Fallen Empires,fem,187,1994
The Dark,drk,119,1994
Legends,leg,310,1994
Antiquities,atq,100,1994
Arabian Nights,arn,78,1993
